"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"A generic conceptual model and actual systems of IC-Card system for model-based systems engineering","Donghun Yoon","Keio University, Japan","2009 International Conference on Model-Based Systems Engineering","29 May 2009","2009","","","69","74","In this paper, a generic conceptual model and actual systems of Japan's IC-Card system for model-based systems engineering are presented and discussed. First, a generic conceptual model of the IC-Card system is discussed. Then Japans various actual IC-Card systems (Electronic Money, Traffic IC-Card, and Mobile IC-Card) are studied using the generic conceptual model of the IC-Card system. This paper also specifies how Japans various actual IC-Card systems differ from the generic conceptual model using the model-based approach to systems engineering.","","978-1-4244-2967-7","10.1109/MBSE.2009.5031722","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5031722","","Systems engineering and theory;Information management;Real time systems;Radiofrequency identification;Communication system control;Wireless communication;Traffic control;Coils;Induction generators;Power generation","information management;smart cards;systems engineering","generic conceptual model;IC-card system;model-based systems engineering;electronic money;mobile IC-card;traffic IC-card","","","","6","IEEE","29 May 2009","","","IEEE","IEEE Conferences"
"Model-Based Systems Engineering Implementation Considerations","W. K. Vaneman; R. Carlson","Systems Engineering Department, Naval Postgraduate School, Monterey, CA, USA; Systems Engineering Department, Naval Postgraduate School, Monterey, CA, USA","2019 IEEE International Systems Conference (SysCon)","16 Sep 2019","2019","","","1","6","As organizations strive to implement Model-Based Systems Engineering (MBSE), there are significant discussions about model-based languages, tools, and the potential benefits of MBSE. However, discussions not occurring, but should be, are the implementation challenges. Issues such as: (i) a comprehensive understanding or the organization's vision and goals for the MBSE environment; (ii) establishing a comprehensive model - the proverbial “single source of technical truth;” (iii) the governance and management of the MBSE environment; (iv) establishing an infrastructure and support environment that allows for collaboration and communication across stakeholders; and, (v) realizing the need, and establishing a plan, for organizational culture change. This paper discusses implementation challenges, associated with those five issues, that must be overcome to transition to a true MBSE environment. This narrative is important because the successful realization of a MBSE environment requires a well-planned implementation to fundamentally change the way organizations perform systems engineering.","2472-9647","978-1-5386-8396-5","10.1109/SYSCON.2019.8836888","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8836888","Model-Based Systems Engineering (MBSE)","Analytical models;Organizations;Data models;Tools;Stakeholders","business data processing;organisational aspects;systems engineering","MBSE environment;model-based languages;organization;model-based systems engineering;organizational culture change","","2","","10","USGov","16 Sep 2019","","","IEEE","IEEE Conferences"
"A Model-Based Systems Engineering Approach to Obtain Fault Trees for Failure Analysis Using SysML","C. N. Almeraz; R. J. Lopez-Terrazas; T. -L. B. Tseng","Department of Industrial, Manufacturing, and Systems Engineering, The University of Texas at El Paso, El Paso, Texas, USA; Department of Industrial, Manufacturing, and Systems Engineering, The University of Texas at El Paso, El Paso, Texas, USA; Department of Industrial, Manufacturing, and Systems Engineering, The University of Texas at El Paso, El Paso, Texas, USA","2021 IEEE International Conference on Recent Advances in Systems Science and Engineering (RASSE)","25 Jan 2022","2021","","","1","6","Industries are constantly being challenged with project and system complexity and the different processes and approaches these convey. In addition, there may be a different number of stakeholders, areas of interest, and ambiguous communication among each of the interested shareholders. When new projects and systems are under development, there are decisions that need to be made related to the reliability of it that may rise issues and it is essential to be able to reduce and mitigate risks in the early stages before the cost of fixing them increases. As systems continue to grow in scale, Model-Based Systems Engineering (MBSE) has become the main approach to manage complexity and maintain consistency in system development. MBSE is an approach that is becoming particularly popular because it allows the generation of system models that help formally establish specification, system requirements, analysis, design, and verification and validation (V&V) activities throughout the development of the system life cycle while ensuring traceability. In this paper, a detailed review of an Automated Teller Machine (ATM) System design process implementation as a use case is presented using Systems Modeling Language (SysML) to support system semantics through an MBSE approach, and later develop a reliability analysis - Fault Tree Analysis (FTA) to help in system improvements and facilitate decision-making in the development of the system.","","978-1-6654-3441-6","10.1109/RASSE53195.2021.9686824","National Science Foundation; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9686824","Stakeholders;Model-Based Systems Engineering (MBSE);system requirements;analysis;design;V&V;ATM;SysML;FTA","Industries;Analytical models;Online banking;Semantics;System improvement;Reliability engineering;Systems Modeling Language","decision making;failure analysis;fault trees;reliability;systems analysis;systems engineering","system improvements;Model-Based Systems Engineering approach;obtain Fault trees;failure Analysis;SysML;ambiguous communication;interested shareholders;main approach;system development;system models;system requirements;system life cycle;Automated Teller Machine System design process implementation;Systems Modeling Language;system semantics;MBSE approach;reliability analysis - Fault Tree Analysis","","","","8","IEEE","25 Jan 2022","","","IEEE","IEEE Conferences"
"Transitioning Systems Thinking to Model-Based Systems Engineering: Systemigrams to SysML Models","R. Cloutier; B. Sauser; M. Bone; A. Taylor","Stevens Institute of Technology, Hoboken, NJ, USA; University of North Texas, Denton, TX, USA; Stevens Institute of Technology, Hoboken, NJ, USA; U.S. Army Natick Soldier Research, Development, and Engineering Center, Natick, MA, USA","IEEE Transactions on Systems, Man, and Cybernetics: Systems","20 May 2017","2015","45","4","662","674","A fundamental challenge for system engineers is to capture a problem with an effective model or framework and then facilitate transferring the information of that captured problem to practical systems engineering tools and methods. The early problem definition phase requires an application of systems thinking with adequate modeling tools and methods. Then, the later problem definition phase and early system architecting phase requires transferring the captured problem to systems engineering tools and methods through emerging techniques such as model-based systems engineering (MBSE) using SysML (MBSE is the practice of using a modeling tools to capture systems engineering diagrams). This paper presents a method for capturing a problem through systemigrams and the Boardman soft systems methodology and then directly translating the systemigrams into SysML diagrams. With MBSE increasing in usage, this method could provide a time savings opportunity during model development along with the possibility of lowering information distortion or loss that can occur during transformation of systems thinking to systems engineering activities. This paper includes a case study which demonstrates how the proposed approach was applied on a problem being considered by the U.S. Army-Contingency Basing for Small Combat Units. Finally, this paper will provide the conclusion on the development of the method and describe future research directions that can allow systems thinking and MBSE to function in a congruent methodology.","2168-2232","","10.1109/TSMC.2014.2379657","Systems Engineering Research Center (SERC). SERC is a federally funded University Affiliated Research Center managed by the Stevens Institute of Technology.; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7000566","Model-based systems engineering (MBSE);SysML;systemigram;systems thinking;Model-based systems engineering (MBSE);SysML;systemigram;systems thinking","Modeling;Unified modeling language;Mathematical model;Organizations;Cybernetics;Bridges","modelling;systems engineering","transitioning systems thinking;model-based systems engineering tools;systemigrams;SysML models;system engineers;modeling tools;definition phase;system architecting phase;MBSE;systems engineering diagrams;Boardman soft systems methodology;SysML diagrams;time savings opportunity;model development;systems engineering activities;congruent methodology","","42","","41","IEEE","31 Dec 2014","","","IEEE","IEEE Journals"
"Enhancing model-based systems engineering with the Lifecycle Modeling Language","W. K. Vaneman","Systems Engineering Department, Naval Postgraduate School, Monterey, CA","2016 Annual IEEE Systems Conference (SysCon)","16 Jun 2016","2016","","","1","7","As systems become more complex, the systems engineering community must find new and more efficient ways of dealing with complexity throughout the system's lifecycle. Model-Based Systems Engineering (MBSE) has proven to be effective at managing complexity through the development of systems in a virtual environment. Several languages have been developed in the spirit of MBSE; however, these languages often do not include the full spectrum of information needed for holistic system solutions. The Lifecycle Modeling Language (LML) has been developed to provide extensible language that contains both visualization models and an ontology. When LML is coupled with the Systems Modeling Language (SysML), the result is a modeling constructs that better supports systems engineering processes across the entire spectrum of lifecycle concerns. This coupling will not only be beneficial today, but could serve as a catalyst for a future MBSE environment.","","978-1-4673-9519-9","10.1109/SYSCON.2016.7490581","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7490581","Model-Based Systems Engineering;Systems Modeling Language (SysML);Lifecycle Modeling Language (LML)","Unified modeling language;Object oriented modeling;Systems Modeling Language;Adaptation models;Ontologies","SysML;systems engineering","model-based systems engineering;lifecycle modeling language;systems engineering community;system lifecycle;virtual environment;holistic system solutions;LML;visualization models;ontology;systems modeling language;SysML;systems engineering processes;MBSE environment","","5","","7","USGov","16 Jun 2016","","","IEEE","IEEE Conferences"
"Combining Model-Based Systems Engineering, Simulation and Domain Engineering in the Development of Industrial Automation Systems: Industrial Case Study","I. Scheeren; C. E. Pereira","General Electric do Brasil Ltda, Federal University of Rio Grande do Sul, UFRGS, Porto Alegre, Brazil; Electrical Engineering Department, Federal University of Rio Grande do Sul, UFRGS, Porto Alegre, Brazil","2014 IEEE 17th International Symposium on Object/Component/Service-Oriented Real-Time Distributed Computing","18 Sep 2014","2014","","","40","47","Due to increasing complexity, the design of Industrial Automation Systems are becoming more challenging. In that sense, efforts have been driven to develop Model-Based Systems Engineering tools and methods. Despite recent progress, there are still doubts in terms of the practical use and benefits. The main concerns are related to integration among tools and exchange of information between multidisciplinary artifacts. This paper compares Document-Centric Engineering (CAx tools) and Model-Based Systems Engineering (MBSE) in light of Industrial Automation Systems using a real domain. Therefore, a MBSE compliant method was developed and tested. Commercial tools such as the Eclipse platform and the ModelicaML language were used to perform abstract modeling while COMOS® from Siemens® was used to develop the multidisciplinary artifacts for project documentation. A Java application was developed to integrate component information between the selected environments. The OpenModelica Compiler was integrated to the platform to allow system and component behavior simulation. Tests have shown that the tools involved on this investigation still need further development concerning maturity and exchange of information from abstract models down to domain specific models. On the other hand, MBSE has proven to be an important tool to match different team approaches and concerns, improving team communication using conceptual-wide and abstract symbols. Connecting abstract ModelicaML models to a simulation environment using Modelica led to a better understanding of systems behavior prior to realization and provided an analysis environment for early detection of project errors and operational failures.","2375-5261","978-1-4799-4430-9","10.1109/ISORC.2014.64","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6899129","Industrial Systems Engineering; Model-Based Systems Engineering; Modelica; COMOS®","Object oriented modeling;Unified modeling language;Computational modeling;Automation;Mathematical model","Java;manufacturing systems;object-oriented methods;production engineering computing;program compilers;specification languages;systems engineering","model-based systems engineering;domain engineering;industrial automation systems;information exchange;document-centric engineering;MBSE;Eclipse platform;ModelicaML language;COMOS;OpenModelica Compiler;Java application","","9","","19","IEEE","18 Sep 2014","","","IEEE","IEEE Conferences"
"Applying Social Constructivism in Model-based Systems Engineering Online Instructional Module for Engineering Professionals","T. Li; K. Douglas; H. P. Le; A. K. Raz; W. J. Huang; A. W. Fentiman","Engineering Education, Purdue University, West Lafayette, U.S.; Engineering Education, Purdue University, West Lafayette, U.S.; School of Aeronautics and Astronautics, Purdue University, West Lafayette, U.S.; School of Aeronautics and Astronautics, Purdue University, West Lafayette, U.S.; Curriculum and Instruction Purdue University, West Lafayette, U.S.; Engineering Education, Purdue University, West Lafayette, U.S.","2020 IEEE Frontiers in Education Conference (FIE)","4 Dec 2020","2020","","","1","5","This research-to-practice WIP (Work In Progress) presents the design and assessment of online Model-Based Systems Engineering (MBSE) modules for practicing engineers using social constructivism as a theoretical framework. Despite many advantages of MBSE, experts in this field are still scarce in the current engineering workforce. To address this need, an online module that will be deployed in the summer of 2020 targets practicing engineers as its learners to equip them with MBSE-related knowledge and skills. In industry, teams working on MBSE-related projects usually collaborate across multidisciplinary units. Therefore, social interaction plays an integral role in MBSE training programs. To understand how group interaction could foster learning in online engineering modules, we apply social constructivism as a theoretical framework to engage learners in meaningful interactions and facilitate the acquisition and application of knowledge. The modules will utilize deep-level, student-centered, small-group discussions, and peer review between student groups as forms of social learning in authentic engineering assignments. The assessment of the modules will focus on the effectiveness of social learning in promoting the mastery and application of content knowledge.","2377-634X","978-1-7281-8961-1","10.1109/FIE44824.2020.9274251","National Science Foundation; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9274251","online learning;Model-based systems engineering;professional development;social constructivism","Modeling;Systems engineering and theory;Knowledge engineering;Training;Teamwork;Complex systems;Companies","computer aided instruction;engineering education;systems engineering;team working","social constructivism;engineering professionals;engineering workforce;online module;MBSE-related projects;social interaction;MBSE training programs;online engineering modules;social learning;model-based systems engineering online instructional module","","","","24","IEEE","4 Dec 2020","","","IEEE","IEEE Conferences"
"Integrating Real-Time Modeling and Assessment into a MOOC Environment for Teaching Model-Based Systems Engineering","U. Shani; N. Wengrowicz; H. Kohen; D. Gluskin; R. Lavi; D. Dori","Facuty of Industrial Engineering and Management, Technion-Israel institute of Technology, Haifa, Israel; Facuty of Industrial Engineering and Management, Technion-Israel institute of Technology, Haifa, Israel; Facuty of Industrial Engineering and Management, Technion-Israel institute of Technology, Haifa, Israel; Facuty of Industrial Engineering and Management, Technion-Israel institute of Technology, Haifa, Israel; Facuty of Industrial Engineering and Management, Technion-Israel institute of Technology, Haifa, Israel; Facuty of Industrial Engineering and Management, Technion-Israel institute of Technology, Haifa, Israel","2020 IEEE International Systems Conference (SysCon)","7 Dec 2020","2020","","","1","4","We have designed, developed and deployed a unique edX massive open online course (MOOC) environment for teaching Model-Based Systems Engineering (MBSE) with Object-Process Methodology (OPM) ISO 19450. In this environment, OPCloud, an OPM cloud-based conceptual modeling environment, has been embedded in the edX environment. This has enabled us, as the course instructors, to teach MBSE with an industrial-strength tool that students can experience first-hand. Students received real-time feedback on their performance, along with guidance on what they missed and the option to resubmit. We describe the architecture of this combined MOOC-modeling environment and report on preliminary performance results.","2472-9647","978-1-7281-5365-0","10.1109/SysCon47679.2020.9275851","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9275851","model-based systems engineering;massive open online courses;conceptual modeling;online learning;systems engineering;Object-Process Methodology","Task analysis;Electronic learning;Tools;Linear systems;Servers;Load modeling;Usability","cloud computing;computer aided instruction;educational courses;ISO standards;systems engineering;teaching","MBSE;Object-Process Methodology ISO 19450;OPM cloud-based conceptual modeling environment;edX environment;combined MOOC-modeling environment;unique edX massive open online course environment;teaching model-based systems engineering;OPCloud;industrial-strength tool","","","","18","IEEE","7 Dec 2020","","","IEEE","IEEE Conferences"
"D-REQs: Determination of security & safety requirements in workshops based on the use of model-based systems engineering","S. Japs; H. Anacker; L. Kaiser; J. H. SE-TRIP; R. Dumitrescu; F. Kargl","Product Engineering, Fraunhofer IEM, Paderborn, Germany; Product Engineering, Fraunhofer IEM, Paderborn, Germany; Digital Engineering 4.0, Technische Universität Berlin, Berlin, Germany; SE-TRIP, University of Gothenburg, Gothenburg, Sweden; Advanced Systems Engineering, University of Paderborn, Paderborn, Germany; Institute of Distributed Systems, University of Ulm, Ulm, Germany","2021 IEEE 29th International Requirements Engineering Conference Workshops (REW)","27 Oct 2021","2021","","","412","414","Cyber-physical systems, like autonomous vehicles, are intelligent and networked. The development of such systems requires cooperation between different stakeholders. A lack of system understanding can lead to unidentified (safety relevant) security requirements (SRSR) in early engineering. This can increase product development costs or compromise system safety compliance. Model-based systems engineering (MBSE) improves the system understanding by using models. Conducting workshops in the context of MBSE promotes interaction between stakeholders so that confusion regarding SRSR can be resolved already in the workshop. Using the models created, requirements can be derived in the workshop. However, established security & safety approaches are not specifically designed to be used in conjunction with MBSE and requirements engineering. In this paper, we present an extension of our previously developed SAVE approach. This extension supports a team of stakeholders in workshops to derive SRSR using MBSE. We illustrate our approach with an example from the automotive domain and present an initial field study of the application of our approach, based on a 2-month student project.","","978-1-6654-1898-0","10.1109/REW53955.2021.00073","Ministry of Education; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9582332","Model-based systems engineering;Requirements engineering;Security;Safety;Cyber-physical systems","Costs;Conferences;Cyber-physical systems;Product development;Safety;Stakeholders;Security","security of data;software engineering","safety requirements;model-based systems engineering;cyber-physical systems;system understanding;security requirements;safety relevant;SRSR;early engineering;product development costs;system safety compliance;requirements engineering;MBSE;SAVE approach","","2","","21","IEEE","27 Oct 2021","","","IEEE","IEEE Conferences"
"Online Model-based Systems Engineering (MBSE) Bootcamp: A Report on Two Day Workforce Development Workshop","A. Akundi; O. Mondragon; M. Ortiz; B. Tseng; S. Luna; V. Lopez","Department of Informatics and Engineering Systems, Complex Engineering Systems Laboratory, University of Texas Rio Grande Valley, Brownsville, Texas; Computer Science Department, University of Texas at El Paso, El Paso, Texas; School of Mathematical and Statistical Sciences, University of Texas Rio Grande Valley, Brownsville, Texas; Industrial, Manufacturing, and Systems Engineering Department, University of Texas at El Paso, El Paso, Texas; Industrial, Manufacturing, and Systems Engineering Department, University of Texas at El Paso, El Paso, Texas; Department of Informatics and Engineering Systems, Complex Engineering Systems Laboratory, University of Texas Rio Grande Valley, Brownsville, Texas","2022 IEEE International Systems Conference (SysCon)","16 May 2022","2022","","","1","6","Academia or workforce development workshops can both increase the plausibility of a streamlined transition from a document-centric approach to MBSE frameworks, and aid the integration of Model-Based Systems Engineering (MBSE) within the current industry and the challenges faced, introducing MBSE concepts, tools, and languages. This paper reports on an online model-based system engineering Bootcamp conducted in collaboration with The University of Texas Rio Grande Valley and The University of Texas at El Paso. The importance of MBSE is emphasized throughout the online Bootcamp to a diverse group of audience i.e., students, faculty, and industry professionals unfamiliar with systems engineering. A set of predefined questions through pre and post Bootcamp surveys aided in determining the perceptions of MBSE and the effectiveness of the Bootcamp in increasing the knowledge of MBSE amongst participants. A positive knowledge gain was observed on the importance of systems modeling and MBSE across students, faculty, and industry personnel participants indicating the effectiveness of the online Bootcamp. A set of open-ended questions were targeted specifically for industry professionals from manufacturing, aerospace, healthcare, transportation, and software domains attending the Bootcamp for capturing the perceived challenges and obstacles according to them for implementing Model-Based Systems Engineering in their organizations.","2472-9647","978-1-6654-3992-3","10.1109/SysCon53536.2022.9773856","National Science Foundation; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9773856","MBSE;online bootcamp;workshop;model-based systems engineering;systems engineering","Industries;Schedules;Conferences;Transportation;Organizations;Medical services;Systems modeling","computer aided instruction;continuing professional development;educational institutions;personnel;software engineering;systems engineering","industry professionals;MBSE bootcamp;workforce development workshop;online model-based systems engineering bootcamp;The University of Texas Rio Grande Valley;The University of Texas at El Paso","","","","8","IEEE","16 May 2022","","","IEEE","IEEE Conferences"
