title,abstract,year,tokens
Model-based Design Process for the Early Phases of Manufacturing System Planning using SysML,"This paper presents an approach for a model-based planning process for the early phases of manufacturing system planning (MSP). The goals are a better integration of MSP with product development (PD) in the early design phases and an improvement of the coordination of the MSP-related planning disciplines. The presented approach is based on model-based systems engineering (MBSE) and is supported by a modeling scheme which uses the systems modeling language (SysML). The approach consists of a process description of the MSP and of different so called SysML views which describe the information artifacts of each MSP step. It is divided into four different modeling levels that describe the manufacturing system's structure and behavior from different points of view. In order to validate the approach, an exemplary cylinder head production was modeled. Extractions from this example are shown as SysML-diagrams. To conclude the paper, the advantages and disadvantages of using a model-based planning approach with SysML for MSP are discussed.",2017,"present model-based planning early phase manufacturing planning ( msp ) . goal better integration msp ( pd ) early phase improvement coordination msp-related planning discipline . presented model-based ( ) supported scheme us ( ) . consists description msp different called view describe artifact msp step . divided four different level describe manufacturing structure behavior different point view . order validate , exemplary cylinder head production modeled . extraction shown sysml-diagrams . conclude , advantage disadvantage model-based planning msp discussed ."
Model Based Systems Engineering using VHDL-AMS,"The purpose of this paper is to contribute to the definition of a model based systems engineering (MBSE) approach which would meet the objective laid out by INCOSE to promote an approach that is not a simple extrapolation of current practices. After briefly presenting the tools used and summarizing a state-of-the-art system design process, we will show how it is possible to define property-based requirements (PBR) as features of specification models and to apply the design process to this model in order to develop design models. We will also show how it is possible, to perform a simulation-based verification process of design models in order to detect and remove design errors, to substitute the initial requirements of the system with derived requirements gradually assigned to the sub-entities of the model, to perform a simulation-based validation process of specification models in order to detect and remove specification errors. Thus, we consider that our proposals improve MBSE current practices making them safer for the development of present and future systems.",2013,"purpose contribute definition ( ) would meet objective laid incose promote simple extrapolation current practice . briefly presenting summarizing state-of-the-art , show possible define property-based ( pbr ) feature specification apply order develop . show possible , perform simulation-based verification order detect remove error , substitute initial derived gradually assigned sub-entities , perform simulation-based validation specification order detect remove specification error . thus , consider proposal improve current practice making safer present future ."
Code Generation Approach Supporting Complex System Modeling based on Graph Pattern Matching,"Code generation is an effective way to drive the complex system development in model-based systems engineering. Currently, different code generators are developed for different modeling languages to deal with the development of systems with multi-domain. There are a lack of unified code generation approaches for multi-domain heterogeneous models. In addition, existing methods lack the ability to flexibly query and transform complex model structures to the target code, resulting in poor transformation efficiency. To solve the above problems, this paper proposes a unified approach which supports the code generation of heterogeneous models with complex model structure. First, The KARMA language based on GOPPRR-E meta-modeling approach is used for the unified formalism of models built by different modeling languages. Second, the code generation approach based on graph pattern matching is proposed to realize the query and transformation of complex model structures. Then, the syntax for code generation is integrated into KARMA and a compiler for code generation is developed. Finally, a case of unmanned vehicle system is taken to validate the effectiveness of the proposed approach.",2022,"code generation effective way drive model-based . currently , different code generator developed different deal multi-domain . lack unified code generation multi-domain heterogeneous . addition , existing lack ability flexibly query transform structure target code , resulting poor transformation efficiency . solve problem , proposes unified support code generation heterogeneous structure . first , karma gopprr-e meta-modeling unified formalism built different . second , code generation graph pattern matching proposed realize query transformation structure . , syntax code generation integrated karma compiler code generation developed . finally , case unmanned vehicle taken validate effectiveness proposed ."
Model based systems engineering as enabler for rapid engineering change management,"Product complexity is steadily increasing, customers are demanding more individualized products and market conditions are changing more frequently. To be able to increase customer satisfaction, while decreasing development lead-time under these conditions, the product development process (PDP) has to become more agile. One of the major challenges in implementing an agile PDP is the rapid adaptation to changed conditions and requirements. Due to the physical and multi-disciplinary relationships and dependencies the change management and execution in the development of cyber-physical products is highly complex and time consuming. In this paper an approach is presented, which enables a rapid engineering change management, by using model based systems engineering (MBSE) on parameter level. This MBSE approach incorporates a link between relevant system parameters and the domain-specific models and by that allows the quick estimation of change request impacts. In addition, it can be shown, that the execution of engineering changes can be supported even semi-automated to drastically reduce execution time. If the domain specific models are fully parameterized an automated execution of these models from within the system model is possible which enables a semi-automated or even fully automated execution of engineering changes as it is shown in an example for the requested material change of an A-pillar of an electrical vehicle.",2021,"steadily increasing , customer demanding individualized market condition changing frequently . able increase customer satisfaction , decreasing lead-time condition , ( pdp ) become agile . one major challenge implementing agile pdp rapid adaptation changed condition . due physical multi-disciplinary relationship dependency change management execution cyber-physical highly time consuming . presented , enables rapid change management , ( ) parameter level . incorporates link relevant parameter domain-specific allows quick estimation change request impact . addition , shown , execution change supported even semi-automated drastically reduce execution time . domain specific fully parameterized automated execution possible enables semi-automated even fully automated execution change shown requested material change a-pillar electrical vehicle ."
Electric Drive Vehicle Development and Evaluation Using System Simulation,"To reduce development time and introduce technologies faster to the market, many companies have been moving to Model-based System Engineering (MBSE). In MBSE, the development process centers around a multi-physics model of the complete system being developed, from requirements to design, implementation and test. Engineers can avoid a generation of system design processes based on hand coding, and use graphical models to design, analyze, and implement the software that determines system performance and behavior. This paper describes the process implemented in Autonomie, a Plug-and-Play Software Environment, to design and evaluate electric drive powertrain and component technologies in a multi-physics environment. We will discuss best practices and provide examples of the different steps of the V-diagram including model-in-the-loop, software-in-the-loop and component-in-the-loop simulation.",2014,"reduce time introduce technology faster market , many company moving model-based ( ) . , center around multi-physics complete developed , , implementation test . engineer avoid generation hand coding , graphical , analyze , implement software determines performance behavior . describes implemented autonomie , plug-and-play software environment , evaluate electric drive powertrain component technology multi-physics environment . discus best practice provide different step v-diagram including model-in-the-loop , software-in-the-loop component-in-the-loop ."
Integrating External Simulations Within the Model-Based Systems Engineering Approach Using Statistical Metamodels,"The Model-Based Systems Engineering (MBSE) approach uses the Systems Modeling Language (SysML) to express the architectural information of a system throughout different stages of its lifecycle. Within the approach, the system's structure, behavior, requirements, and parametrics are defined as elements within an integrated model. System Engineers use nine SysML diagrams to display unique views of these system elements. A significant limitation of SysML is that it is only descriptive in nature and cannot produce analytical results to inform system effectiveness. In order to achieve the full benefit of the MBSE approach the systems engineering community must also rely on external models that capture more sophisticated analysis across a wide variety of domains. These domain models include simulations that measure operational effectiveness, life cycle costing models, physics-based computational simulations, manufacturing models, and many more. The purpose of this paper is to propose an approach that integrates these external simulation models with the MBSE integrated model using statistical metamodels that act as surrogates to the simulations. We demonstrate the approach using a simple system design problem and an agent-based simulation.",2016,"model-based ( ) us ( ) express architectural throughout different stage lifecycle . , structure , behavior , , parametrics defined element integrated . engineer nine diagram display unique view element . significant limitation descriptive nature produce analytical result inform effectiveness . order achieve full benefit community must rely external capture sophisticated across wide variety domain . domain include measure operational effectiveness , life cycle costing , physics-based computational , manufacturing , many . purpose propose integrates external integrated statistical metamodels act surrogate . demonstrate simple problem agent-based ."
A user-centric computer-aided verification process in a virtuality-reality continuum,"Although companies systematically strive for a full digitalisation of their products and their processes, the design phase shows that the quality of models is very unequal. Indeed, detailed design benefits from much more sophisticated methods and tools than the specification and architecture activities. Although, we should note the recent paradigm shift from document-based to model-based systems engineering, these models, which are mainly static 2D diagrams, remain poor to facilitate design verification early on. Thus, to detect most errors during the design phase, companies have no other alternative than to wait up to the testing phase which occurs after several years of development for complex systems. Thus, we propose a user-centric computer-aided verification process to ensure that the design meets the requirements under realistic operational conditions. The verification process provides a progressive immersion into the virtual system before seamlessly transitioning to the real system. Our work is built upon state-of-the-art MBSE methods such as the Property Model Methodology, which enables systems engineers to co-simulate specification models and design models. We improve such MBSE methods by increasing the level of realism that experiences the end-user during the verification of a design by the original combination of Model-In-the-Loop, Immersive Model-In-the-Loop, Human-In-the-Loop, and Hardware-In-the-Loop simulation strategies. A robot arm is used as a use case to illustrate the verification process.",2022,"although company systematically strive full digitalisation , phase show quality unequal . indeed , detailed benefit much sophisticated specification activity . although , note recent paradigm shift document-based model-based , , mainly static diagram , remain poor facilitate verification early . thus , detect error phase , company alternative wait testing phase occurs several year . thus , propose user-centric computer-aided verification ensure meet realistic operational condition . verification provides progressive immersion virtual seamlessly transitioning real . work built upon state-of-the-art property methodology , enables engineer co-simulate specification . improve increasing level realism experience end-user verification original combination model-in-the-loop , immersive model-in-the-loop , human-in-the-loop , hardware-in-the-loop strategy . robot arm case illustrate verification ."
Using knowledge and expressions to validate inter-model constraints,"Abstract
Model Based System Engineering (MBSE) field recommends practices, framework, tools and standards to improve the modeling of systems. Nevertheless, even though one follows a modeling methodology, inconsistencies arise in models since they are shared and developed in a collaborative context. This paper focuses on an approach to manage models heterogeneity by taking into consideration the implicit knowledge of the engineers. We defend this knowledge as the key to check inter-model constraints in the framework of MBSE methodologies.",2011,"( ) field recommends practice , , standard improve . nevertheless , even though one follows methodology , inconsistency arise since shared developed collaborative context . focus manage heterogeneity taking consideration implicit knowledge engineer . defend knowledge key check inter-model constraint methodology ."
An MBSE Approach to Pass from Requirements to Functional Architecture,"With systems being more and more complex, especially in the case of Nuclear Power Plant design, Systems Engineering (SE) has seen an increasing interest in the industrial world. Although SE concepts and processes have become well-known, passing from Requirements to Functional Architectures has not been a fully addressed issue. This paper proposes a tooled method that offers three different design perspectives: a Requirement View, a Context View and a Behavioural View. Those views mainly help the designers to express requirements, structure their architecture design, work together, verify and partially validate their design by means of five interconnected Design Specific Modelling Languages (DSML).",2017,", especially case nuclear power plant , ( se ) seen increasing interest industrial world . although se concept become well-known , passing functional fully addressed issue . proposes tooled offer three different perspective : view , context view behavioural view . view mainly help designer express , structure , work together , verify partially validate mean five interconnected specific modelling ( dsml ) ."
Toward the tools selection in model based system engineering for embedded systems—A systematic literature review,"Model based system engineering (MBSE) is a systematic approach of modeling which is frequently used to support requirement specification, design, verification and validation activities of system development. However, it is difficult to customize MBSE approach for the development of embedded systems due to their diverse behavioral aspects. Furthermore, appropriate tools selection to perform particular MBSE activities is always challenging. This paper focuses on the identification and classification of recent research practices pertaining to embedded systems development through MBSE approach. Consequently, a comprehensive analysis of various MBSE tools has been presented. Systematic literature review (SLR) has been used to identify 61 research practices published during 2008–2014. The identified researches have been classified into six different categories to analyze various aspects of MBSE approach for embedded systems. Consequently, 39 preliminary tools are identified that have been used in recent researches. Furthermore, classification and evaluation of tools have been presented. This research highlights important trends and approaches of MBSE to support development of embedded systems. A comprehensive investigation of tools in this article facilitates researchers, practitioners and developers to select appropriate tools according to their requirements.",2015,"( ) systematic frequently support specification , , verification validation activity . , difficult customize embedded due diverse behavioral aspect . furthermore , appropriate selection perform particular activity always challenging . focus identification classification recent research practice pertaining embedded . consequently , comprehensive various presented . systematic literature review ( slr ) identify research practice published – . identified research classified six different category analyze various aspect embedded . consequently , preliminary identified recent research . furthermore , classification evaluation presented . research highlight important trend support embedded . comprehensive investigation article facilitates researcher , practitioner developer select appropriate according ."
