Weekly Infectious Disease Bulletin - Year 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Polyclinic attendances - Average Daily numbers,,,
Epidemiology Wk,Start,End,Cholera,Paratyphoid ,Typhoid ,Viral Hepatitis A,Viral Hepatitis E,Poliomyelitis,Plague,Yellow Fever,Dengue Fever,Dengue Haemorrhagic Fever,Malaria,Chikungunya Fever,"Hand, Foot Mouth Disease",Diphtheria,Measles,Mumps  ,Rubella,SARS,Nipah virus infection,Acute Viral hepatitis B,Encephalitis,Legionellosis,Campylobacterenterosis,Acute Viral hepatitis C,Melioidosis,Meningococcal Infection,Pertussis,Pneumococcal Disease (invasive),Haemophilus influenzae type b,Salmonellosis(non-enteric fevers),Avian Influenza,Zika Virus Infection,Acute Upper Respiratory Tract infections,Acute Conjunctivitis,Acute Diarrhoea,Chickenpox
1,3/1/16,9/1/16,1,1,0,0,1,0,0,0,547,0,1,1,417,0,0,8,1,0,0,0,1,0,14,1,0,0,1,3,0,57,0,0,2604,94,492,15
2,10/1/16,16/1/16,0,0,0,3,1,0,0,0,620,0,0,1,505,0,0,7,0,0,0,1,1,0,4,0,2,0,2,2,0,52,0,0,2775,86,513,15
3,17/1/16,23/1/16,0,1,2,3,2,0,0,0,636,1,0,0,588,0,0,11,0,0,0,0,1,0,9,0,1,1,2,1,0,49,0,0,2946,83,521,16
4,24/1/16,30/1/16,0,0,4,0,0,0,0,0,623,1,0,1,587,0,0,10,0,0,0,2,0,0,6,0,2,0,1,3,0,42,0,0,3111,62,529,14
5,31/1/16,6/2/16,0,0,1,0,2,0,0,0,523,2,0,0,669,0,1,9,0,0,0,1,1,0,6,0,0,0,1,2,0,54,0,0,3125,75,519,11
6,7/2/16,13/2/16,0,0,0,1,0,0,0,0,419,0,0,0,587,0,0,9,0,0,0,1,0,0,5,0,2,0,0,2,0,35,0,0,3740,92,624,17
7,14/2/16,20/2/16,0,0,0,2,3,0,0,0,589,1,0,2,699,0,2,8,0,0,0,0,0,1,13,0,0,0,1,5,0,49,0,0,3174,87,538,17
8,21/2/16,27/2/16,0,0,4,0,0,0,0,0,507,4,0,0,756,0,1,10,0,0,0,0,1,0,14,2,0,0,1,4,0,52,0,0,3148,82,508,13
9,28/2/16,5/3/16,0,1,1,1,0,0,0,0,411,0,1,0,831,0,1,4,0,0,0,1,0,0,8,0,1,0,3,2,0,39,0,0,3001,86,456,15
10,6/3/16,12/3/16,0,2,2,2,2,0,0,0,395,1,0,0,979,0,2,6,0,0,0,2,1,1,10,1,2,0,2,4,0,26,0,0,2702,81,490,15
11,13/3/16,19/3/16,0,1,0,1,1,0,0,0,372,1,1,0,905,0,2,9,0,0,0,4,1,0,6,0,0,0,1,3,0,41,0,0,2382,73,419,14
