Epidemiology Wk,Start,End,Cholera,Paratyphoid ,Typhoid ,Acute Viral Hepatitis A,Acute Viral Hepatitis E,Poliomyelitis,Plague,Yellow Fever,Dengue,DHF,Malaria,Chikungunya,HFMD,Diphtheria,Measles,Mumps  ,Rubella,SARS,Nipah,Acute Viral hepatitis B,Encephalitis,Legionellosis,Campylobacter enteritis,Acute Viral hepatitis C,Leptospirosis,Melioidosis,Meningococcal Infection,Pertussis,Pneumococcal Disease (invasive),Haemophilus influenzae type b,Salmonellosis(non-enteric fevers),Avian Influenza,Zika,Ebola Virus Disease,Japanese Encephalitis,Tetanus,Botulism,Murine Typhus,Acute Upper Respiratory Tract infections,Acute Conjunctivitis,Acute Diarrhoea,Chickenpox
1,3/1/21, 09/01/2021,0,0,0,1,5,0,0,0,194,0,0,0,9,0,0,4,0,0,0,0,0,1,14,0,0,2,0,0,0,0,22,0,0,0,0,0,0,1,869,44,300,5
2,10/1/21, 16/01/2021,0,0,0,0,3,0,0,0,165,1,0,0,5,0,0,7,0,0,0,1,0,0,12,0,0,4,0,0,1,0,35,0,0,0,0,0,0,0,1048,49,353,4
3,17/1/21, 23/01/2021,0,0,0,0,1,0,0,0,151,1,0,0,11,0,0,5,0,0,0,0,0,0,13,0,3,3,0,0,1,0,16,0,0,0,0,0,0,0,1423,55,321,5
4,24/1/21, 30/01/2021,0,0,0,0,1,0,0,0,135,0,0,0,7,0,0,5,0,0,0,0,0,0,17,2,2,0,0,0,0,0,18,0,0,0,0,0,0,0,1226,48,341,3
5,31/1/21, 06/02/2021,0,0,2,2,1,0,0,0,141,0,0,0,8,0,0,4,0,0,0,2,0,0,11,0,0,1,0,0,2,0,12,0,0,0,0,0,0,0,1192,59,327,3
6,7/2/21, 13/02/2021,0,0,0,1,0,0,0,0,142,1,0,0,8,0,0,3,0,0,0,0,0,0,20,0,0,1,0,0,0,0,17,0,0,0,0,0,0,1,1072,57,343,5
7,14/2/21, 20/02/2021,0,0,0,0,2,0,0,0,148,0,0,0,5,0,0,7,0,0,0,2,0,1,21,0,0,1,0,0,2,0,18,0,0,0,0,0,0,0,1286,66,339,5
8,21/2/21, 27/02/2021,0,0,0,1,0,0,0,0,145,1,0,0,13,0,0,5,0,0,0,0,0,0,12,0,1,1,0,0,0,0,17,0,0,0,0,0,0,0,1279,59,353,4
9,28/2/21, 06/03/2021,0,0,0,0,1,0,0,0,139,1,0,0,5,0,0,3,0,0,0,1,0,0,16,0,0,1,0,0,0,0,20,0,0,0,0,0,0,0,1294,63,344,4
10,7/3/21, 13/03/2021,0,0,0,0,1,0,0,0,145,0,0,0,12,0,0,2,0,0,0,0,0,0,14,1,0,1,2,0,0,0,23,0,0,0,0,0,0,0,1238,57,357,4
11,14/3/21, 20/03/2021,0,0,0,0,1,0,0,0,129,0,0,0,3,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,32,0,0,0,0,0,0,0,1108,44,326,4
12,21/3/21, 27/03/2021,0,0,0,0,1,0,0,0,120,0,0,0,8,0,0,2,0,0,0,1,0,0,15,0,1,0,0,0,0,0,21,0,0,0,0,0,0,1,1214,43,370,3
13,28/3/21, 03/04/2021,0,0,0,0,0,0,0,0,113,0,0,0,17,0,0,1,0,0,0,0,0,0,7,0,1,0,0,0,0,0,22,0,0,0,0,0,0,0,1193,38,354,4
14,4/4/21, 10/04/2021,0,0,0,1,1,0,0,0,102,0,0,0,11,0,0,4,0,0,0,0,0,0,16,0,0,0,0,0,1,0,25,0,0,0,0,0,0,0,1245,45,387,5
15,11/4/21, 17/04/2021,0,1,0,0,0,0,0,0,112,0,0,0,14,0,0,2,0,0,0,0,0,0,12,0,1,4,0,0,0,0,20,0,0,0,0,0,0,0,1260,41,410,4
16,18/4/21, 24/04/2021,0,1,0,0,0,0,0,0,128,1,0,0,25,0,0,4,0,0,0,2,0,0,10,0,1,2,0,0,0,0,29,0,0,0,0,0,0,0,1347,43,446,3
17,25/4/21, 01/05/2021,0,0,0,0,2,0,0,0,84,0,0,0,22,0,0,5,0,0,0,0,0,0,13,1,0,1,0,0,0,0,29,0,0,0,0,0,0,0,1387,45,453,5
18,2/5/21, 08/05/2021,0,0,0,1,0,0,0,0,117,0,0,0,19,0,0,7,0,0,0,0,0,1,17,0,1,3,0,0,0,0,23,0,0,0,0,0,0,0,1459,40,380,3
19,9/5/21, 15/05/2021,0,0,0,0,3,0,0,0,92,0,0,0,20,0,0,6,0,0,0,0,0,0,8,0,0,1,0,0,3,0,24,0,0,0,0,0,0,0,1472,49,394,5
20,16/5/21, 22/05/2021,0,0,0,0,1,0,0,0,116,3,0,0,8,0,0,6,0,0,0,0,0,1,13,1,1,1,0,0,0,0,17,0,0,0,0,0,0,0,1669,35,291,3
21,23/5/21, 29/05/2021,0,0,0,0,0,0,0,0,129,0,0,0,13,0,0,3,0,0,0,1,0,0,12,1,0,1,0,0,0,0,16,0,0,0,0,0,0,0,1198,34,246,3
22,30/5/21, 05/06/2021,0,0,1,0,0,0,0,0,118,0,0,0,9,0,0,3,0,0,0,0,0,0,11,0,1,1,0,0,0,0,30,0,0,0,0,0,0,0,910,36,224,3
23,6/6/21, 12/06/2021,0,0,0,0,1,0,0,0,137,0,0,0,31,0,0,2,0,0,0,0,0,0,16,0,0,1,0,0,0,0,28,0,0,0,0,0,0,1,756,33,235,2
24,13/6/21, 19/06/2021,0,0,0,0,2,0,0,0,135,0,1,0,22,0,0,4,0,0,0,0,0,0,9,0,2,0,0,0,0,0,17,0,0,0,0,0,0,0,720,32,229,4
25,20/6/21, 26/06/2021,0,0,0,0,0,0,0,0,126,1,0,0,36,0,0,4,0,0,0,0,0,0,7,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,757,30,233,2
26,27/6/21, 03/07/2021,0,0,0,1,3,0,0,0,112,0,0,0,31,0,0,2,0,0,0,1,0,0,15,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,798,42,291,2
27,4/7/21, 10/07/2021,0,0,1,0,1,0,0,0,104,0,1,0,24,0,0,2,0,0,0,0,0,1,20,0,0,1,0,0,1,0,26,0,0,0,0,0,0,0,830,37,318,3
28,11/7/21, 17/07/2021,0,0,3,0,1,0,0,0,75,0,0,0,33,0,0,5,0,0,0,1,0,1,17,1,3,1,0,0,0,0,12,0,0,0,0,0,0,0,1024,40,331,4
29,18/7/21, 24/07/2021,0,0,0,0,2,0,0,0,80,0,0,0,20,0,0,5,0,0,0,1,0,0,12,0,0,1,0,0,0,0,19,0,0,0,0,0,0,1,1283,40,328,5
30,25/7/21, 31/07/2021,0,0,2,0,2,0,0,0,82,0,0,0,34,0,0,6,0,0,0,0,0,2,21,0,0,3,0,0,0,0,24,0,0,0,0,0,0,0,1109,42,280,3
31,1/8/21, 07/08/2021,0,0,0,0,1,0,0,0,70,0,0,0,27,0,0,0,0,0,0,0,0,0,8,0,1,1,0,0,1,0,28,0,0,0,0,0,0,0,973,30,287,3
32,8/8/21, 14/08/2021,0,0,1,0,0,0,0,0,79,0,0,0,14,0,0,3,0,0,0,0,0,1,9,0,1,0,0,0,0,0,30,0,0,0,0,0,0,0,964,31,282,3
33,15/8/21, 21/08/2021,0,0,0,1,2,0,0,0,56,0,0,0,15,0,0,3,0,0,0,0,0,2,17,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,1017,38,316,3
34,22/8/21, 28/08/2021,0,0,0,0,1,0,0,0,53,0,0,0,20,0,0,2,0,0,0,0,0,0,7,1,1,0,0,0,0,0,40,0,0,0,0,0,0,0,1082,32,312,3
35,29/8/21, 04/09/2021,0,0,0,0,1,0,0,0,46,0,0,0,36,0,0,2,0,0,0,0,0,0,19,0,0,2,0,0,1,0,27,0,0,0,0,0,0,0,1114,38,311,3
36,5/9/21, 11/09/2021,0,0,2,1,3,0,0,0,60,1,0,0,30,0,0,4,0,0,0,1,0,0,18,0,0,4,0,0,0,0,34,0,0,0,0,0,0,0,1127,36,256,4
37,12/9/21, 18/09/2021,0,0,0,0,0,0,0,0,74,0,0,0,46,0,0,7,0,0,0,0,0,0,18,0,0,0,0,0,2,0,18,0,0,0,0,0,0,1,1315,41,290,4
38,19/9/21, 25/09/2021,0,0,0,1,0,0,0,0,109,1,0,0,47,0,0,8,0,0,0,0,0,0,9,1,1,0,0,0,1,0,28,0,0,0,0,0,0,0,1261,30,295,4
39,26/9/21, 02/10/2021,0,0,2,1,1,0,0,0,105,0,0,0,27,0,0,3,0,0,0,0,0,0,15,0,0,2,0,0,2,0,11,0,0,0,0,0,0,1,1176,32,257,2
40,3/10/21, 09/10/2021,0,0,0,0,1,0,0,0,104,0,0,0,18,0,0,2,0,0,0,1,0,0,12,0,1,0,0,0,2,0,18,0,0,0,0,0,0,0,1180,35,245,3
41,10/10/21, 16/10/2021,0,0,0,1,2,0,0,0,85,0,0,0,18,0,0,3,0,0,0,0,0,0,12,0,0,1,0,0,1,0,22,0,0,0,0,0,0,0,1168,38,261,3
42,17/10/21, 23/10/2021,0,0,0,0,1,0,0,0,76,0,0,0,23,0,0,6,0,0,0,0,0,0,10,0,1,0,0,0,1,0,23,0,0,0,0,0,0,0,1187,33,258,5
43,24/10/21, 30/10/2021,0,0,0,1,0,0,0,0,75,0,0,0,18,0,0,3,0,0,0,0,0,0,11,1,1,0,0,0,1,0,19,0,0,0,0,0,0,0,1209,40,283,3
44,31/10/21, 06/11/2021,0,0,0,1,0,0,0,0,59,0,0,0,17,0,0,3,0,0,0,0,0,0,3,0,1,1,0,0,3,0,23,0,0,0,0,0,0,1,1157,39,274,2
45,7/11/21, 13/11/2021,0,0,0,0,0,0,0,0,42,0,0,0,23,0,0,3,0,0,0,0,0,1,10,0,1,1,0,0,0,0,13,0,0,0,0,0,0,0,1158,31,289,3
46,14/11/21, 20/11/2021,2,0,2,0,0,0,0,0,56,0,0,0,18,0,0,5,0,0,0,1,0,0,15,1,0,2,0,0,0,0,18,0,0,0,0,0,0,0,1085,34,278,2
47,21/11/21, 27/11/2021,0,0,0,0,0,0,0,0,63,0,0,0,19,0,0,4,0,0,0,0,0,0,14,1,1,2,0,0,2,0,13,0,0,0,0,0,0,0,1044,40,279,3
48,28/11/21, 04/12/2021,0,0,0,0,0,0,0,0,48,0,0,0,24,0,0,3,0,0,0,0,0,0,10,0,0,0,0,0,1,0,13,0,0,0,0,0,0,0,978,36,266,2
49,5/12/21, 11/12/2021,1,0,0,1,0,0,0,0,64,1,0,0,23,0,0,1,0,0,0,0,0,0,14,0,0,0,0,0,2,0,13,0,0,0,0,0,0,0,969,36,274,3
50,12/12/21, 18/12/2021,0,0,1,2,1,0,0,0,61,0,0,0,18,0,0,2,0,0,0,0,0,0,14,0,1,1,0,0,0,0,18,0,0,0,0,0,1,0,874,40,269,3
51,19/12/21, 25/12/2021,0,1,0,0,1,0,0,0,68,0,0,0,34,0,0,4,0,0,0,0,0,2,17,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,870,37,281,4
52,26/12/21, 01/01/2022,0,0,0,1,0,0,0,0,76,0,0,0,45,0,0,2,0,0,0,0,0,0,11,0,1,1,0,0,0,0,11,0,0,0,0,0,0,0,904,41,287,2
