,date,month,road_accidents,total_rainfall,no_of_rainy_days,relative_humidity,mean_sunshine_hrs,mean_daily_temp
0,2008-01-01,1,750,262.6,19,86.0,6.1,24.3
1,2008-02-01,2,606,129.2,8,82.9,5.5,24.0
2,2008-03-01,3,713,294.1,16,87.1,4.3,24.0
3,2008-04-01,4,718,87.2,13,82.0,6.0,25.1
4,2008-05-01,5,706,124.9,11,79.1,6.6,26.0
5,2008-06-01,6,714,118.3,12,81.5,5.6,25.3
6,2008-07-01,7,760,89.1,15,81.3,4.9,25.1
7,2008-08-01,8,757,327.3,18,83.8,5.5,24.7
8,2008-09-01,9,747,164.4,18,82.7,5.1,24.6
9,2008-10-01,10,735,159.5,19,84.9,4.5,25.0
10,2008-11-01,11,676,324.3,16,85.9,4.0,24.5
11,2008-12-01,12,708,244.2,17,83.7,4.8,24.3
12,2009-01-01,1,709,38.3,5,79.1,6.6,24.2
13,2009-02-01,2,660,201.8,8,80.7,6.4,24.2
14,2009-03-01,3,712,223.3,19,85.4,5.5,24.1
15,2009-04-01,4,704,183.7,12,82.2,6.2,25.4
16,2009-05-01,5,719,198.6,17,83.0,6.6,25.3
17,2009-06-01,6,693,21.8,8,79.8,7.0,26.2
18,2009-07-01,7,707,161.0,16,80.8,6.2,25.3
19,2009-08-01,8,751,177.8,12,80.7,6.5,25.6
20,2009-09-01,9,687,109.6,13,82.0,5.6,25.5
21,2009-10-01,10,764,133.4,15,82.8,5.4,25.2
22,2009-11-01,11,772,281.8,23,85.6,4.7,24.8
23,2009-12-01,12,729,189.8,18,86.3,4.7,24.6
24,2010-01-01,1,680,69.5,10,82.1,7.1,24.4
25,2010-02-01,2,665,6.3,4,77.3,8.8,25.5
26,2010-03-01,3,780,238.0,11,79.9,6.1,25.1
27,2010-04-01,4,726,158.5,18,84.1,6.2,25.0
28,2010-05-01,5,777,157.5,17,82.2,6.5,25.9
29,2010-06-01,6,666,240.5,19,83.9,5.1,25.2
30,2010-07-01,7,763,298.5,18,84.8,4.6,24.6
31,2010-08-01,8,811,158.4,16,84.2,5.4,24.6
32,2010-09-01,9,752,121.5,13,82.5,5.7,24.9
33,2010-10-01,10,786,166.2,17,82.3,4.2,25.1
34,2010-11-01,11,744,278.8,21,85.9,5.0,24.2
35,2010-12-01,12,658,181.4,14,85.3,3.6,23.9
36,2011-01-01,1,799,513.2,17,85.8,4.5,23.5
37,2011-02-01,2,634,23.0,8,81.1,7.5,24.1
38,2011-03-01,3,709,256.6,22,85.5,4.6,23.9
39,2011-04-01,4,728,217.8,12,83.9,7.2,24.6
40,2011-05-01,5,695,127.0,15,85.3,5.9,25.2
41,2011-06-01,6,673,213.0,15,83.7,5.0,25.2
42,2011-07-01,7,730,76.6,7,81.3,7.8,25.5
43,2011-08-01,8,738,81.4,13,82.6,6.1,25.6
44,2011-09-01,9,737,136.4,14,82.7,5.1,25.1
45,2011-10-01,10,744,216.8,20,87.4,5.3,24.7
46,2011-11-01,11,705,377.8,24,87.8,4.6,24.6
47,2011-12-01,12,705,284.6,21,88.4,3.3,24.5
48,2012-01-01,1,691,106.1,16,87.3,6.0,24.3
49,2012-02-01,2,707,83.6,11,85.6,7.0,24.8
50,2012-03-01,3,708,313.4,21,87.3,4.2,24.4
51,2012-04-01,4,677,260.6,20,85.1,5.8,24.8
52,2012-05-01,5,686,292.0,19,83.1,5.6,24.8
53,2012-06-01,6,577,53.0,8,79.0,6.0,26.3
54,2012-07-01,7,690,130.8,17,81.1,6.2,25.3
55,2012-08-01,8,723,119.0,12,79.8,6.1,25.4
56,2012-09-01,9,684,107.6,10,79.7,5.6,25.3
57,2012-10-01,10,681,122.2,13,81.3,5.9,25.2
58,2012-11-01,11,670,208.2,22,85.4,4.4,24.7
59,2012-12-01,12,690,363.4,22,87.0,3.6,24.4
60,2013-01-01,1,691,262.0,15,82.1,6.0,24.6
61,2013-02-01,2,612,395.2,22,86.9,4.0,24.3
62,2013-03-01,3,640,85.8,10,80.4,7.5,25.6
63,2013-04-01,4,665,159.4,19,82.7,5.2,25.3
64,2013-05-01,5,642,211.4,17,83.1,5.4,25.6
65,2013-06-01,6,597,111.4,12,74.6,6.4,25.9
66,2013-07-01,7,639,174.6,15,79.9,5.7,25.2
67,2013-08-01,8,656,165.6,15,79.0,6.1,25.1
68,2013-09-01,9,649,257.0,19,81.3,4.6,24.8
69,2013-10-01,10,673,285.4,19,79.9,6.3,24.6
70,2013-11-01,11,645,292.4,22,84.6,4.5,24.5
71,2013-12-01,12,639,348.2,21,85.8,3.5,24.1
72,2014-01-01,1,676,75.4,5,78.5,5.3,24.0
73,2014-02-01,2,558,0.2,1,74.5,8.8,24.5
74,2014-03-01,3,604,66.0,6,76.0,8.0,25.1
