month,fatal and injury road accicents
2008-01,750
2008-02,606
2008-03,713
2008-04,718
2008-05,706
2008-06,714
2008-07,760
2008-08,757
2008-09,747
2008-10,735
2008-11,676
2008-12,708
2009-01,709
2009-02,660
2009-03,712
2009-04,704
2009-05,719
2009-06,693
2009-07,707
2009-08,751
2009-09,687
2009-10,764
2009-11,772
2009-12,729
2010-01,680
2010-02,665
2010-03,780
2010-04,726
2010-05,777
2010-06,666
2010-07,763
2010-08,811
2010-09,752
2010-10,786
2010-11,744
2010-12,658
2011-01,799
2011-02,634
2011-03,709
2011-04,728
2011-05,695
2011-06,673
2011-07,730
2011-08,738
2011-09,737
2011-10,744
2011-11,705
2011-12,705
2012-01,691
2012-02,707
2012-03,708
2012-04,677
2012-05,686
2012-06,577
2012-07,690
2012-08,723
2012-09,684
2012-10,681
2012-11,670
2012-12,690
2013-01,691
2013-02,612
2013-03,640
2013-04,665
2013-05,642
2013-06,597
2013-07,639
2013-08,656
2013-09,649
2013-10,673
2013-11,645
2013-12,639
2014-01,676
2014-02,558
2014-03,604
2014-04,639
2014-05,684
2014-06,657
2014-07,704
2014-08,768
2014-09,667
2014-10,675
2014-11,676
2014-12,651
2015-01,638
2015-02,648
2015-03,770
2015-04,645
2015-05,687
2015-06,646
2015-07,714
2015-08,694
2015-09,626
2015-10,686
2015-11,712
2015-12,740
2016-01,703
2016-02,697
2016-03,666
2016-04,684
2016-05,695
2016-06,655
2016-07,746
2016-08,794
2016-09,668
2016-10,740
2016-11,753
2016-12,643
2017-01,689
2017-02,592
2017-03,676
2017-04,674
2017-05,641
2017-06,636
2017-07,686
2017-08,663
2017-09,629
2017-10,619
2017-11,686
2017-12,652
2018-01,713
2018-02,618
2018-03,668
2018-04,648
2018-05,614
2018-06,654
2018-07,626
2018-08,667
2018-09,618
2018-10,642
2018-11,710
2018-12,632
2019-01,677
2019-02,581
2019-03,624
2019-04,635
2019-05,660
2019-06,655
2019-07,687
2019-08,622
2019-09,659
2019-10,692
2019-11,676
2019-12,654
2020-01,647
2020-02,489
2020-03,520
2020-04,296
2020-05,262
2020-06,365
2020-07,479
2020-08,437
2020-09,476
2020-10,512
2020-11,485
2020-12,588
2021-01,556
2021-02,475
2021-03,540
2021-04,499
2021-05,470
2021-06,472
2021-07,474
2021-08,534
2021-09,533
2021-10,440
2021-11,521
2021-12,525
