month,temp_mean_daily_min
1982-01,23.3
1982-02,23.9
1982-03,24.3
1982-04,24.3
1982-05,25.2
1982-06,26
1982-07,25.5
1982-08,25
1982-09,25.3
1982-10,24.3
1982-11,24.5
1982-12,23.9
1983-01,24
1983-02,24.8
1983-03,25.4
1983-04,26.3
1983-05,25.2
1983-06,25.3
1983-07,24.9
1983-08,25.6
1983-09,24.6
1983-10,24.7
1983-11,24
1983-12,23.3
1984-01,22.9
1984-02,23.4
1984-03,23.8
1984-04,24.5
1984-05,24.5
1984-06,24.7
1984-07,24.7
1984-08,24.3
1984-09,23.7
1984-10,24.3
1984-11,24
1984-12,23.6
1985-01,23.6
1985-02,24.1
1985-03,24.2
1985-04,24.4
1985-05,25.2
1985-06,25.1
1985-07,23.9
1985-08,25.1
1985-09,24
1985-10,23.9
1985-11,23.8
1985-12,23.7
1986-01,23.4
1986-02,23.9
1986-03,24.1
1986-04,24.7
1986-05,25.4
1986-06,25.3
1986-07,25
1986-08,25.2
1986-09,23.6
1986-10,24.3
1986-11,24.1
1986-12,23.9
1987-01,23.4
1987-02,23.7
1987-03,24.8
1987-04,25.1
1987-05,25
1987-06,26
1987-07,25.4
1987-08,25
1987-09,24.6
1987-10,25.2
1987-11,24.3
1987-12,24.2
1988-01,24.5
1988-02,24.6
1988-03,24.8
1988-04,25.2
1988-05,25.8
1988-06,24.9
1988-07,24.6
1988-08,24.5
1988-09,24.5
1988-10,24.5
1988-11,23.7
1988-12,23.9
1989-01,23.9
1989-02,23.7
1989-03,23.9
1989-04,24
1989-05,24.5
1989-06,24.4
1989-07,24.9
1989-08,23.9
1989-09,24.1
1989-10,24.2
1989-11,24
1989-12,23.9
1990-01,23.7
1990-02,24.9
1990-03,25
1990-04,25.3
1990-05,25.6
1990-06,25.4
1990-07,24.6
1990-08,25.1
1990-09,24.2
1990-10,24.9
1990-11,24.7
1990-12,24.1
1991-01,24.2
1991-02,24.1
1991-03,24.7
1991-04,24.7
1991-05,25
1991-06,25.8
1991-07,25.7
1991-08,25.3
1991-09,24.7
1991-10,24.7
1991-11,23.6
1991-12,23.4
1992-01,23.8
1992-02,24.3
1992-03,25
1992-04,25.1
1992-05,25.1
1992-06,24.9
1992-07,24.2
1992-08,24.3
1992-09,24.5
1992-10,24.3
1992-11,23.7
1992-12,23.4
1993-01,23.8
1993-02,23.8
1993-03,24
1993-04,24.4
1993-05,25.4
1993-06,25.4
1993-07,25.2
1993-08,25.4
1993-09,24.9
1993-10,24.7
1993-11,24.2
1993-12,24
1994-01,24.1
1994-02,24
1994-03,24.2
1994-04,24.8
1994-05,25.1
1994-06,25.2
1994-07,25.7
1994-08,25.2
1994-09,25.5
1994-10,24.6
1994-11,24
1994-12,24.1
1995-01,24.1
1995-02,23.9
1995-03,24.6
1995-04,25
1995-05,25.6
1995-06,25.8
1995-07,25.2
1995-08,24.6
1995-09,25.1
1995-10,24.8
1995-11,24.1
1995-12,23.9
1996-01,23.4
1996-02,24
1996-03,24.5
1996-04,24.9
1996-05,25.2
1996-06,25.3
1996-07,25.4
1996-08,24.3
1996-09,24.6
1996-10,24.4
1996-11,24.6
