time,dengue_cases,denv_1,denv_2,denv_3,denv_4,Mean Temperature (°C),Mean Wind Speed (km/h),Daily Rainfall Total (mm),Maximum Temperature (°C),Max Wind Speed (km/h),Minimum Temperature (°C),google_trends,s_ratio,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12
2018-04-08,38,,,,,,,,,,,,0.0,0,0,1,0,0,0,0,0,0,0,0
2018-04-15,56,0.0,0.505,0.484,0.011,28.52857142857143,10.714285714285714,0.7428571428571428,33.8,36.7,25.5,20.0,0.7253672804320647,0,0,1,0,0,0,0,0,0,0,0
2018-04-22,55,0.0,0.505,0.484,0.011,28.914285714285715,9.828571428571427,2.0571428571428574,34.4,38.2,24.6,18.0,0.7251885811884516,0,0,1,0,0,0,0,0,0,0,0
2018-04-29,74,0.0,0.505,0.484,0.011,28.142857142857142,7.7,0.3714285714285714,34.3,37.1,25.5,21.0,0.7250871599107983,0,0,1,0,0,0,0,0,0,0,0
2018-05-06,62,0.0,0.505,0.484,0.011,28.414285714285715,6.842857142857143,4.8,35.0,43.6,22.6,23.0,0.7248063377941957,0,0,0,1,0,0,0,0,0,0,0
2018-05-13,63,0.029,0.549,0.382,0.039,28.785714285714285,8.328571428571427,3.742857142857143,34.2,44.6,23.6,39.0,0.7120322579696285,0,0,0,1,0,0,0,0,0,0,0
2018-05-20,64,0.029,0.549,0.382,0.039,29.685714285714287,11.228571428571428,0.1999999999999999,33.8,51.1,26.3,21.0,0.7118830666728634,0,0,0,1,0,0,0,0,0,0,0
2018-05-27,52,0.029,0.549,0.382,0.039,28.414285714285715,6.471428571428571,1.457142857142857,34.0,36.4,24.6,30.0,0.711683540647741,0,0,0,1,0,0,0,0,0,0,0
2018-06-03,75,0.029,0.549,0.382,0.039,28.31428571428572,6.914285714285714,6.914285714285714,33.1,49.3,24.0,23.0,0.7116520323749292,0,0,0,0,1,0,0,0,0,0,0
2018-06-10,55,0.244,0.353,0.328,0.076,27.842857142857145,5.6000000000000005,17.37142857142857,32.9,45.0,22.9,24.0,0.7233291067824126,0,0,0,0,1,0,0,0,0,0,0
2018-06-17,59,0.244,0.353,0.328,0.076,29.728571428571428,9.55714285714286,0.5999999999999999,33.4,36.4,24.2,22.0,0.7233334348108164,0,0,0,0,1,0,0,0,0,0,0
2018-06-24,75,0.244,0.353,0.328,0.076,29.1,9.328571428571427,1.6857142857142855,33.1,42.5,23.6,22.0,0.7233840416908688,0,0,0,0,1,0,0,0,0,0,0
2018-07-01,56,0.244,0.353,0.328,0.076,27.74285714285714,8.27142857142857,4.628571428571428,32.2,47.2,23.6,25.0,0.72328642519517,0,0,0,0,0,1,0,0,0,0,0
2018-07-08,44,0.307,0.467,0.173,0.053,27.042857142857144,6.528571428571429,9.285714285714286,31.5,36.4,23.0,24.0,0.6886913975758977,0,0,0,0,0,1,0,0,0,0,0
2018-07-15,41,0.307,0.467,0.173,0.053,28.24285714285714,9.985714285714286,9.114285714285714,31.7,41.8,23.1,21.0,0.6886500706750991,0,0,0,0,0,1,0,0,0,0,0
2018-07-22,56,0.307,0.467,0.173,0.053,28.25714285714286,10.285714285714286,8.371428571428572,32.3,51.1,21.9,22.0,0.6886975365995556,0,0,0,0,0,1,0,0,0,0,0
2018-07-29,50,0.307,0.467,0.173,0.053,28.914285714285715,11.514285714285714,1.2857142857142858,31.9,40.0,23.5,23.0,0.6886438345019706,0,0,0,0,0,1,0,0,0,0,0
