time,dengue_cases,denv_1,denv_2,denv_3,denv_4,Mean Temperature (°C),Mean Wind Speed (km/h),Daily Rainfall Total (mm),Maximum Temperature (°C),Max Wind Speed (km/h),Minimum Temperature (°C),google_trends,Mean Temperature (°C)_lag28,Mean Temperature (°C)_lag51,Mean Wind Speed (km/h)_lag6,Mean Wind Speed (km/h)_lag22,Mean Wind Speed (km/h)_lag47,Maximum Temperature (°C)_lag10,Max Wind Speed (km/h)_lag14,Max Wind Speed (km/h)_lag41,Minimum Temperature (°C)_lag49,dengue_cases_lag_1,dengue_cases_lag_2,dengue_cases_lag_3,s_ratio,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12
2018-04-08,38,0.0,0.505,0.484,0.011,28.52857142857143,10.714285714285714,0.7428571428571428,33.8,36.7,25.5,20,,,,,,,,,,,,,0.7254105364560629,0,0,1,0,0,0,0,0,0,0,0
2018-04-15,56,0.0,0.505,0.484,0.011,28.914285714285715,9.828571428571427,2.0571428571428574,34.4,38.2,24.6,18,,,,,,,,,,38.0,,,0.7253672804320647,0,0,1,0,0,0,0,0,0,0,0
2018-04-22,55,0.0,0.505,0.484,0.011,28.142857142857142,7.7,0.3714285714285714,34.3,37.1,25.5,21,,,,,,,,,,56.0,38.0,,0.7251885811884516,0,0,1,0,0,0,0,0,0,0,0
2018-04-29,74,0.0,0.505,0.484,0.011,28.414285714285715,6.842857142857143,4.8,35.0,43.6,22.6,23,,,,,,,,,,55.0,56.0,38.0,0.7250871599107983,0,0,1,0,0,0,0,0,0,0,0
2018-05-06,62,0.029,0.549,0.382,0.039,28.785714285714285,8.328571428571427,3.742857142857143,34.2,44.6,23.6,39,,,,,,,,,,74.0,55.0,56.0,0.7121885291468053,0,0,0,1,0,0,0,0,0,0,0
2018-05-13,63,0.029,0.549,0.382,0.039,29.685714285714287,11.228571428571428,0.1999999999999999,33.8,51.1,26.3,21,,,,,,,,,,62.0,74.0,55.0,0.7120429065944262,0,0,0,1,0,0,0,0,0,0,0
2018-05-20,64,0.029,0.549,0.382,0.039,28.414285714285715,6.471428571428571,1.457142857142857,34.0,36.4,24.6,30,,,10.714285714285714,,,,,,,63.0,62.0,74.0,0.7118937052833786,0,0,0,1,0,0,0,0,0,0,0
2018-05-27,52,0.029,0.549,0.382,0.039,28.31428571428572,6.914285714285714,6.914285714285714,33.1,49.3,24.0,23,,,9.828571428571427,,,,,,,64.0,63.0,62.0,0.7116941711355099,0,0,0,1,0,0,0,0,0,0,0
2018-06-03,75,0.244,0.353,0.328,0.076,27.842857142857145,5.6000000000000005,17.37142857142857,32.9,45.0,22.9,24,,,7.7,,,,,,,52.0,64.0,63.0,0.7234692792772869,0,0,0,0,1,0,0,0,0,0,0
2018-06-10,55,0.244,0.353,0.328,0.076,29.728571428571428,9.55714285714286,0.5999999999999999,33.4,36.4,24.2,22,,,6.842857142857143,,,,,,,75.0,52.0,64.0,0.7233672538015814,0,0,0,0,1,0,0,0,0,0,0
2018-06-17,59,0.244,0.353,0.328,0.076,29.1,9.328571428571427,1.6857142857142855,33.1,42.5,23.6,22,,,8.328571428571427,,,33.8,,,,55.0,75.0,52.0,0.7233715488748034,0,0,0,0,1,0,0,0,0,0,0
2018-06-24,75,0.244,0.353,0.328,0.076,27.74285714285714,8.27142857142857,4.628571428571428,32.2,47.2,23.6,25,,,11.228571428571428,,,34.4,,,,59.0,55.0,75.0,0.7234221139447814,0,0,0,0,1,0,0,0,0,0,0
2018-07-01,56,0.307,0.467,0.173,0.053,27.042857142857144,6.528571428571429,9.285714285714286,31.5,36.4,23.0,24,,,6.471428571428571,,,34.3,,,,75.0,59.0,55.0,0.6887347352179246,0,0,0,0,0,1,0,0,0,0,0
2018-07-08,44,0.307,0.467,0.173,0.053,28.24285714285714,9.985714285714286,9.114285714285714,31.7,41.8,23.1,21,,,6.914285714285714,,,35.0,,,,56.0,75.0,59.0,0.6886536146052537,0,0,0,0,0,1,0,0,0,0,0
