Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Changi,1982,5,1,12,—,—,—,26.1,28.9,23.7,—,—
Changi,1982,5,2,0,—,—,—,27.9,31.9,24.5,—,—
Changi,1982,5,3,0,—,—,—,28.9,32.6,26.1,—,—
Changi,1982,5,4,0,—,—,—,28.5,32.2,25.7,—,—
Changi,1982,5,5,1.5,—,—,—,28.8,31.9,26.1,—,—
Changi,1982,5,6,0,—,—,—,27.7,31.3,25.6,—,—
Changi,1982,5,7,0,—,—,—,27.9,32.1,24.6,—,—
Changi,1982,5,8,0,—,—,—,27.7,31.4,24.4,—,—
Changi,1982,5,9,0,—,—,—,28.1,32.1,25.5,—,—
Changi,1982,5,10,0,—,—,—,28.4,32.7,25.1,—,—
Changi,1982,5,11,0,—,—,—,27.9,31.8,25.5,—,—
Changi,1982,5,12,14.3,—,—,—,28.8,32.9,25.3,—,—
Changi,1982,5,13,0.5,—,—,—,27.8,31.7,24,—,—
Changi,1982,5,14,33,—,—,—,27,29.8,25,—,—
Changi,1982,5,15,3.6,—,—,—,27.1,30.6,23.7,—,—
Changi,1982,5,16,0.6,—,—,—,27.5,32,25.6,—,—
Changi,1982,5,17,0,—,—,—,27.9,31.2,25.4,—,—
Changi,1982,5,18,0,—,—,—,28.2,32.3,25.3,—,—
Changi,1982,5,19,0,—,—,—,27.9,30.7,26.1,—,—
Changi,1982,5,20,0,—,—,—,27.8,31.7,24.7,—,—
Changi,1982,5,21,0,—,—,—,28.1,32.2,25,—,—
Changi,1982,5,22,0,—,—,—,28.4,31.5,25.5,—,—
Changi,1982,5,23,0.1,—,—,—,28.4,31.9,26,—,—
Changi,1982,5,24,0,—,—,—,29.3,32.8,26.7,—,—
Changi,1982,5,25,0,—,—,—,28.4,32.7,25.3,—,—
Changi,1982,5,26,1.9,—,—,—,27.7,32.8,25.8,—,—
Changi,1982,5,27,0,—,—,—,27.9,30.7,25.4,—,—
Changi,1982,5,28,0,—,—,—,27.8,32.3,25.8,—,—
Changi,1982,5,29,31.5,—,—,—,28.1,31.8,25.2,—,—
Changi,1982,5,30,0,—,—,—,27,28.9,23.8,—,—
Changi,1982,5,31,3.2,—,—,—,28,32.6,25.6,—,—
