Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Changi,2022,11,1,     2.6,     2.6,     2.6,     2.6,    27.2,    29.1,    24.2,     5.8,    38.9
Changi,2022,11,2,     0.4,     0.4,     0.4,     0.4,    27.6,    32.1,    25.2,     6.4,    27.8
Changi,2022,11,3,     0.0,     0.0,     0.0,     0.0,    27.5,    31.4,    25.1,     7.1,    27.8
Changi,2022,11,4,     0.8,     0.8,     0.8,     0.8,    28.9,    32.8,    24.3,     9.1,    29.6
Changi,2022,11,5,    40.4,    23.4,    27.0,    29.6,    25.4,    27.9,    22.4,     6.0,    51.9
Changi,2022,11,6,     0.6,     0.2,     0.2,     0.4,    26.9,    31.1,    25.0,     7.7,    40.7
Changi,2022,11,7,    53.0,    38.8,    52.0,    52.8,    26.4,    31.8,    23.4,     7.2,    22.2
Changi,2022,11,8,    34.2,    29.2,    32.6,    32.6,    26.1,    31.9,    23.1,     5.9,    40.7
Changi,2022,11,9,     0.8,     0.6,     0.8,     0.8,    26.3,    28.7,    25.0,     6.6,    25.9
Changi,2022,11,10,    19.8,     3.4,     4.8,     9.4,    26.6,    30.6,    24.4,     6.6,    22.2
Changi,2022,11,11,     0.4,     0.4,     0.4,     0.4,    27.2,    31.6,    25.1,     5.8,    27.8
Changi,2022,11,12,    21.2,     6.6,     9.2,    13.8,    26.3,    31.9,    24.4,     7.0,    24.1
Changi,2022,11,13,     3.4,     3.4,     3.4,     3.4,    27.0,    30.4,    24.5,     7.1,    27.8
Changi,2022,11,14,    13.2,     5.6,     7.0,    11.0,    27.3,    31.5,    23.6,     5.9,    29.6
Changi,2022,11,15,     7.0,     3.0,     4.4,     6.8,    28.0,    32.4,    24.0,     7.9,    40.7
Changi,2022,11,16,    16.4,    10.2,    13.4,    14.2,    27.2,    33.3,    24.3,     7.4,    31.5
Changi,2022,11,17,     0.0,     0.0,     0.0,     0.0,    27.8,    31.8,    24.9,     5.6,    20.4
Changi,2022,11,18,     0.0,     0.0,     0.0,     0.0,    28.5,    33.1,    25.9,     6.3,    31.5
Changi,2022,11,19,     6.0,     2.2,     3.4,     4.4,    26.1,    27.5,    23.5,     5.7,    38.9
Changi,2022,11,20,     0.2,     0.2,     0.2,     0.2,    28.1,    31.7,    24.9,     8.6,    31.5
Changi,2022,11,21,    11.0,    11.0,    11.0,    11.0,    28.6,    33.1,    23.2,     8.9,    40.7
Changi,2022,11,22,     2.2,     2.2,     2.2,     2.2,    30.0,    33.9,    26.0,     8.2,    37.0
Changi,2022,11,23,     3.6,     2.8,     3.0,     3.4,    27.6,    30.3,    24.1,     6.4,    46.3
Changi,2022,11,24,    13.4,    13.4,    13.4,    13.4,    28.7,    33.9,    23.7,     6.5,    38.9
Changi,2022,11,25,     5.2,    14.6,    16.6,    17.4,    27.8,    31.3,    24.5,     6.3,    27.8
Changi,2022,11,26,     1.6,     1.6,     1.6,     1.6,    27.5,    31.5,    25.6,     7.2,    24.1
Changi,2022,11,27,     1.4,     0.6,     1.0,     1.4,    26.4,    28.8,    24.6,     5.7,    42.6
Changi,2022,11,28,     2.2,     2.2,     2.2,     2.2,    27.2,    32.4,    24.9,     8.4,    31.5
Changi,2022,11,29,     0.0,     0.0,     0.0,     0.0,    27.6,    32.0,    25.1,     7.4,    35.2
Changi,2022,11,30,    52.8,    33.0,    44.6,    50.8,    27.2,    32.9,    22.8,     7.8,    35.2
