Weekly Infectious Disease Bulletin - Year 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Polyclinic attendances - Average Daily numbers,,,
Epidemiology Wk,Start,End,Cholera,Paratyphoid ,Typhoid ,Viral Hepatitis A,Viral Hepatitis E,Poliomyelitis,Plague,Yellow Fever,Dengue Fever,Dengue Haemorrhagic Fever,Malaria,Chikungunya Fever,"Hand, Foot Mouth Disease",Diphtheria,Measles,Mumps  ,Rubella,SARS,Nipah virus infection,Acute Viral hepatitis B,Encephalitis,Legionellosis,Campylobacterenterosis,Acute Viral hepatitis C,Melioidosis,Meningococcal Infection,Pertussis,Pneumococcal Disease (invasive),Haemophilus influenzae type b,Salmonellosis(non-enteric fevers),Avian Influenza,Acute Upper Respiratory Tract infections,Acute Conjunctivitis,Acute Diarrhoea,Chickenpox
1,4/1/15,10/1/15,0,2,1,0,0,0,0,0,256,1,1,2,422,0,0,8,1,0,0,2,1,0,12,1,2,0,2,3,0,44,0,2822,107,509,13
2,11/1/15,17/1/15,0,1,2,1,0,0,0,0,228,0,0,1,554,0,0,10,0,0,0,0,2,1,9,0,1,1,2,3,0,40,0,2921,104,514,16
3,18/1/15,24/1/15,0,0,2,5,1,0,0,0,237,0,0,0,492,0,0,9,0,0,0,0,0,0,9,0,1,0,1,2,0,30,0,3035,99,508,17
4,25/1/15,31/1/15,0,0,4,0,2,0,0,0,259,0,0,1,502,0,0,10,0,0,0,0,2,1,10,0,0,0,2,2,0,21,0,2918,107,442,14
5,1/2/15,7/2/15,0,0,1,1,1,0,0,0,212,0,0,2,492,0,2,12,0,0,0,0,0,0,4,0,1,0,2,3,0,22,0,2931,90,474,19
6,8/2/15,14/2/15,0,0,1,3,1,0,0,0,173,0,1,0,690,0,0,11,1,0,0,2,0,1,5,2,0,0,1,2,0,31,0,2997,91,465,14
7,15/2/15,21/2/15,0,0,1,1,1,0,0,0,99,1,0,1,417,0,1,9,1,0,0,0,0,0,11,0,1,0,1,3,0,24,0,2959,96,414,23
8,22/2/15,28/2/15,0,1,0,2,0,0,0,0,172,0,0,0,573,0,2,11,0,0,0,2,2,1,17,0,2,0,1,5,0,30,0,2821,94,517,20
9,1/3/15,7/3/15,0,1,0,0,0,0,0,0,189,1,0,0,645,0,0,2,0,0,0,2,0,0,8,0,1,0,0,1,0,31,0,2590,96,494,14
10,8/3/15,14/3/15,0,1,1,0,1,0,0,0,110,0,1,0,609,0,0,6,0,0,0,3,0,1,5,0,0,0,1,2,0,27,0,2513,86,481,19
11,15/3/15,21/3/15,0,4,2,0,0,0,0,0,91,0,1,1,556,0,0,8,1,0,0,1,0,1,7,1,0,0,1,1,0,27,0,2288,82,405,18
12,22/3/15,28/3/15,0,1,1,0,3,0,0,0,129,1,0,0,558,0,0,5,0,0,0,3,0,0,4,0,1,0,2,0,0,42,0,2401,83,448,15
13,29/3/15,4/4/15,0,1,0,1,0,0,0,0,90,1,0,1,463,0,0,15,0,0,0,1,0,1,13,0,2,0,0,1,0,31,0,2341,75,416,14
14,5/4/15,11/4/15,0,0,0,0,0,0,0,0,107,0,5,0,537,0,3,12,1,0,0,0,1,0,1,0,1,0,1,4,0,37,0,2366,84,463,14
15,12/4/15,18/4/15,0,1,0,0,2,0,0,0,137,0,0,1,633,0,4,11,0,0,0,0,1,1,9,0,0,0,1,2,0,34,0,2469,92,497,15
16,19/4/15,25/4/15,0,2,1,1,2,0,0,0,113,0,1,2,693,0,2,13,0,0,0,2,1,1,14,0,1,0,1,0,0,40,0,2534,85,480,13
17,26/4/15,2/5/15,0,0,1,0,1,0,0,0,120,0,1,0,721,0,1,6,1,0,0,3,0,0,8,1,0,0,2,2,0,29,0,2645,78,468,15
18,3/5/15,9/5/15,0,0,2,0,2,0,0,0,135,0,1,1,778,0,0,12,0,0,0,1,1,0,5,0,1,0,0,4,0,31,0,2882,87,515,13
19,10/5/15,16/5/15,0,0,2,0,1,0,0,0,157,1,1,0,782,0,1,12,1,0,0,2,0,1,8,0,0,0,2,2,0,24,0,2757,79,482,21
20,17/5/15,23/5/15,0,0,1,2,0,0,0,0,109,0,0,0,855,0,1,9,0,0,0,2,0,0,9,0,0,0,0,6,0,36,0,2828,82,495,20
21,24/5/15,30/5/15,0,0,1,1,2,0,0,0,178,2,1,2,1004,0,1,11,1,0,0,1,3,0,9,0,1,0,0,2,0,36,0,3001,94,492,16
22,31/5/15,6/6/15,0,0,0,0,1,0,0,0,151,1,1,1,721,0,0,9,1,0,0,1,0,0,7,0,0,0,0,4,0,42,0,2844,80,422,13
23,7/6/15,13/6/15,0,0,1,1,1,0,0,0,192,1,1,0,540,0,1,9,0,0,0,1,1,0,2,0,3,0,0,2,0,26,0,2637,79,422,12
24,14/6/15,20/6/15,0,2,2,1,0,0,0,0,207,0,1,1,541,0,1,13,0,0,0,0,0,1,5,0,4,1,1,1,0,44,0,2631,65,399,10
25,21/6/15,27/6/15,0,0,1,0,1,0,0,0,240,0,3,0,578,0,0,15,0,0,0,2,0,0,9,0,0,0,2,5,0,39,0,2651,69,442,12
26,28/6/15,4/7/15,0,1,0,3,1,0,0,0,242,0,0,0,455,0,1,10,1,0,0,0,0,0,7,1,2,1,1,1,0,41,0,2319,81,493,11
27,5/7/15,11/7/15,0,0,0,4,0,0,0,0,272,0,2,0,430,0,5,4,0,0,0,1,0,1,7,0,0,0,2,5,0,23,0,2357,83,530,13
28,12/7/15,18/7/15,0,0,2,0,0,0,0,0,263,0,2,1,385,0,0,10,0,0,0,2,0,0,6,2,0,0,0,4,0,41,0,2318,68,554,12
29,19/7/15,25/7/15,0,0,0,0,1,0,0,0,293,0,1,3,448,0,2,16,0,0,0,3,1,0,6,2,0,0,3,3,0,43,0,2455,70,555,11
30,26/7/15,1/8/15,0,0,0,0,2,0,0,0,250,0,2,0,438,0,0,5,0,0,0,0,0,0,7,0,1,1,0,6,0,30,0,2392,76,510,9
31,2/8/15,8/8/15,0,0,1,1,3,0,0,0,226,0,2,3,367,0,1,6,0,0,0,0,1,0,10,0,1,0,1,2,0,36,0,2475,74,516,13
32,9/8/15,15/8/15,0,0,1,4,0,0,0,0,221,0,1,1,478,0,0,7,0,0,0,0,1,0,7,0,0,0,0,4,1,41,0,2880,76,576,13
33,16/8/15,22/8/15,0,2,0,0,1,0,0,0,250,0,2,2,554,0,2,10,0,0,0,2,0,0,8,0,1,0,1,3,0,44,0,2810,78,517,15
