Epidemiology Wk,Start to End,,Total Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Average Daily Number,,,
,,,Cholera,Paratyphoid ,Typhoid ,Acute Viral Hepatitis A,Acute Viral Hepatitis E,Poliomyelitis,Plague,Yellow Fever,Dengue,DHF,Malaria,Chikungunya,HFMD,Diphtheria,Measles,Monkeypox,Mumps  ,Rubella,SARS,Nipah,Acute Viral hepatitis B,Legionellosis,Campylobacter enteritis,Acute Viral hepatitis C,Leptospirosis,Melioidosis,Meningococcal Infection,Pertussis,Pneumococcal Disease (invasive),Haemophilus influenzae type b,Salmonellosis(non-enteric fevers),Avian Influenza,Zika,Ebola Virus Disease,Japanese Encephalitis,Tetanus,Botulism,Murine Typhus,Acute Upper Respiratory Tract infections,Acute Conjunctivitis,Acute Diarrhoea,Chickenpox
1,2/1/2022 - 8/1/2022,,0,0,1,0,3,0,0,0,106,0,0,0,50,0,0,0,0,0,0,0,0,0,17,0,2,1,0,0,1,0,24,0,0,0,0,0,0,2,977,38,297,3
2,9/1/2022 - 15/1/2022,,0,0,1,1,0,0,0,0,146,0,0,0,46,0,0,0,1,0,0,0,0,1,19,0,1,0,0,0,1,0,18,0,0,0,0,0,0,0,1263,43,330,2
3,16/1/2022 - 22/1/2022,,0,0,2,0,0,0,0,0,178,2,0,0,48,0,0,0,2,0,0,0,1,1,13,2,0,1,0,0,1,0,16,0,0,0,0,0,0,0,1567,44,316,2
4,23/1/2022 - 29/1/2022,,0,0,1,0,1,0,0,0,169,2,0,0,21,0,0,0,1,0,0,0,1,0,17,0,2,2,1,0,0,0,15,0,0,0,0,0,0,0,1911,41,317,1
5,30/1/2022 - 5/2/2022,,0,0,3,0,0,0,0,0,153,1,1,0,28,0,0,0,1,0,0,0,1,1,17,0,0,1,0,0,0,0,16,0,0,0,0,0,0,1,2945,47,363,4
6,6/2/2022 - 12/2/2022,,0,2,0,0,0,0,0,0,168,1,0,0,42,0,0,0,7,0,0,0,1,0,11,0,0,1,0,0,0,0,23,0,0,0,0,0,0,0,2645,39,323,3
7,13/2/2022 - 19/2/2022,,0,0,0,0,0,0,0,0,206,0,0,0,61,0,0,0,0,0,0,0,0,0,12,0,1,0,0,0,0,0,22,0,0,0,0,0,0,1,3256,35,317,3
8,20/2/2022 - 26/2/2022,,0,0,0,0,0,0,0,0,200,1,0,0,51,0,0,0,5,0,0,0,1,1,13,0,0,1,0,0,1,0,21,0,0,0,0,0,0,0,3247,37,293,2
9,27/2/2022 - 5/3/2022,,0,0,2,0,0,0,0,0,263,0,0,0,38,0,0,0,0,0,0,0,1,0,14,0,0,2,0,0,0,0,25,0,0,0,0,0,0,0,2982,33,309,3
10,6/3/2022 - 12/3/2022,,1,0,0,1,0,0,0,0,369,0,0,0,26,0,0,0,1,0,0,0,1,0,13,1,0,2,0,0,2,0,28,0,0,0,0,0,0,0,2626,36,292,2
