Epidemiology Wk,Start to End,,Total Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Average Daily Number,,,,
,,,Cholera,Paratyphoid ,Typhoid ,Acute Viral Hepatitis A,Acute Viral Hepatitis E,Poliomyelitis,Plague,Yellow Fever,Dengue,DHF,Malaria,Chikungunya,Diphtheria,Measles,Mumps  ,Rubella,SARS,Nipah,Acute Viral hepatitis B,Legionellosis,Campylobacter enteritis,Acute Viral hepatitis C,Leptospirosis,Melioidosis,Meningococcal Infection,Pertussis,Pneumococcal Disease (invasive),Haemophilus influenzae type b,Salmonellosis (non-enteric fevers),Avian Influenza,Zika,Ebola Virus Disease,Japanese Encephalitis,Tetanus,Botulism,Murine Typhus,Mpox,Acute Upper Respiratory Tract infections,Acute Conjunctivitis,Acute Diarrhoea,Chickenpox,HFMD
1,1/1/2023 - 7/1/2023,,0,1,1,0,0,0,0,0,279,0,0,1,0,1,2,0,0,0,0,0,10,0,2,0,0,1,2,0,13,0,0,0,0,0,0,0,2,2560,69,352,7,10
2,8/1/2023 - 14/1/2023,,0,1,3,1,4,0,0,0,278,0,0,0,0,1,6,0,0,0,0,0,7,0,2,0,0,0,3,0,18,0,0,0,0,0,0,0,0,2400,65,375,7,14
3,15/1/2023 - 21/1/2023,,0,1,2,2,2,0,0,0,273,1,0,0,0,0,3,0,0,0,0,0,7,0,2,1,0,1,2,0,39,0,0,0,0,0,0,1,0,2405,63,382,3,15
4,22/1/2023 - 28/1/2023,,0,0,2,3,3,0,0,0,186,0,1,0,0,0,3,0,0,0,1,0,4,0,1,1,1,0,6,0,22,0,0,0,0,0,0,0,0,2805,66,409,5,21
5,29/1/2023 - 4/2/2023,,0,1,2,0,1,0,0,0,223,0,1,1,0,0,5,0,0,0,0,1,10,0,0,1,0,0,4,0,16,0,0,0,0,0,0,0,0,2795,71,407,5,25
6,5/2/2023 - 11/2/2023,,0,0,3,1,1,0,0,0,219,1,0,0,0,0,3,0,0,0,3,2,10,0,1,0,0,0,2,0,34,0,0,0,0,0,0,0,0,2741,75,369,6,25
7,12/2/2023 - 18/2/2023,,0,1,2,0,1,0,0,0,148,0,0,0,0,0,3,0,0,0,1,1,13,0,1,1,0,0,1,0,16,0,0,0,0,0,0,0,0,2590,77,376,6,23
8,19/2/2023 - 25/2/2023,,0,0,1,1,1,0,0,0,138,0,0,2,0,1,4,0,0,0,0,2,11,0,1,0,0,0,3,0,20,0,0,0,0,0,0,0,0,2694,76,385,5,22
9,26/2/2023 - 4/3/2023,,0,0,0,1,2,0,0,0,111,0,0,0,0,0,2,0,0,0,1,1,3,0,0,0,0,0,1,0,21,0,0,0,0,0,0,0,0,2535,77,345,4,29
10,5/3/2023 - 11/3/2023,,0,0,1,0,2,0,0,0,119,0,0,0,0,0,1,0,0,0,0,0,16,1,3,1,0,0,2,0,22,0,0,0,0,0,0,1,0,2823,83,342,5,22
11,12/3/2023 - 18/3/2023,,0,0,0,3,1,0,0,0,149,0,0,0,0,0,3,0,0,0,0,0,8,0,1,3,0,0,1,0,14,0,0,0,0,1,0,0,0,2592,79,324,4,24
