date,recent_cases_in_cluster_central,recent_cases_in_cluster_east,recent_cases_in_cluster_north,recent_cases_in_cluster_north-east,recent_cases_in_cluster_west
2015-07-05,65.0,25.0,22.0,15.0,9.0
2015-07-12,54.0,27.0,34.0,15.0,6.0
2015-07-19,45.0,29.0,37.0,15.0,5.0
2015-07-26,39.0,31.0,29.0,14.0,8.0
2015-08-02,33.0,34.0,21.0,13.0,10.0
2015-08-09,27.0,25.0,17.0,8.0,10.0
2015-08-16,27.0,18.0,13.0,12.0,10.0
2015-08-23,44.0,19.0,22.0,12.0,6.0
2015-08-30,28.0,34.0,20.0,12.0,7.0
2015-09-06,25.0,40.0,19.0,30.0,9.0
2015-09-13,16.0,23.0,26.0,30.0,10.0
2015-09-20,52.0,30.0,24.0,26.0,12.0
2015-09-27,49.0,29.0,25.0,25.0,11.0
2015-10-04,43.0,57.0,14.0,20.0,7.0
2015-10-11,41.0,51.0,20.0,23.0,13.0
2015-10-18,29.0,52.0,17.0,11.0,8.0
2015-10-25,30.0,46.0,17.0,21.0,8.0
2015-11-01,38.0,36.0,16.0,26.0,9.0
2015-11-08,34.0,49.0,23.0,28.0,8.0
2015-11-15,34.0,48.0,16.0,25.0,6.0
2015-11-22,23.0,44.0,9.0,21.0,7.0
2015-11-29,30.0,60.0,5.0,33.0,8.0
2015-12-06,35.0,60.0,11.0,36.0,6.0
2015-12-13,39.0,62.0,18.0,33.0,10.0
2015-12-20,70.0,70.0,20.0,42.0,14.0
2015-12-27,62.0,58.0,24.0,47.0,13.0
2016-01-03,57.0,77.0,30.0,59.0,14.0
2016-01-10,94.0,109.0,33.0,60.0,32.0
2016-01-17,106.0,148.0,47.0,81.0,44.0
2016-01-24,140.0,154.0,78.0,114.0,56.0
2016-01-31,138.0,136.0,79.0,117.0,40.0
2016-02-07,111.0,94.0,56.0,94.0,36.0
2016-02-14,75.0,82.0,45.0,74.0,39.0
2016-02-21,116.0,87.0,58.0,95.0,43.0
2016-02-28,101.0,75.0,53.0,102.0,56.0
2016-03-06,90.0,59.0,40.0,88.0,43.0
2016-03-13,79.0,60.0,26.0,61.0,18.0
2016-03-20,68.0,74.0,28.0,71.0,10.0
2016-03-27,75.0,71.0,16.0,56.0,8.0
2016-04-03,81.0,66.0,14.0,57.0,4.0
2016-04-10,65.0,59.0,18.0,35.0,11.0
2016-04-17,61.0,28.0,11.0,25.0,6.0
2016-04-24,46.0,26.0,17.0,25.0,6.0
2016-05-01,39.0,47.0,13.0,36.0,4.0
2016-05-08,39.0,35.0,9.0,23.0,2.0
2016-05-15,42.0,30.0,18.0,16.0,4.0
2016-05-22,46.0,29.0,28.0,11.0,5.0
