date,dengue_cases,denv_1,denv_2,denv_3,denv_4
2023-01-01,279,0.214,0.108,0.623,0.055
2023-01-08,278,0.214,0.108,0.623,0.055
2023-01-15,273,0.214,0.108,0.623,0.055
2023-01-22,186,0.214,0.108,0.623,0.055
2023-01-29,223,0.214,0.108,0.623,0.055
2023-02-05,219,0.214,0.108,0.623,0.055
2023-02-12,148,0.214,0.108,0.623,0.055
2023-02-19,138,0.214,0.108,0.623,0.055
2023-02-26,111,0.214,0.108,0.623,0.055
2023-03-05,119,0.214,0.108,0.623,0.055
2023-03-12,149,0.214,0.108,0.623,0.055
2023-03-19,128,0.214,0.108,0.623,0.055
2022-01-02,106,0.009,0.393,0.598,0.0
2022-01-09,146,0.009,0.393,0.598,0.0
2022-01-16,178,0.009,0.393,0.598,0.0
2022-01-23,169,0.009,0.393,0.598,0.0
2022-01-30,153,0.009,0.393,0.598,0.0
2022-02-06,168,0.004,0.357,0.626,0.013
2022-02-13,206,0.004,0.357,0.626,0.013
2022-02-20,200,0.004,0.357,0.626,0.013
2022-02-27,263,0.004,0.357,0.626,0.013
2022-03-06,369,0.004,0.134,0.862,0.0
2022-03-13,421,0.004,0.134,0.862,0.0
2022-03-20,441,0.004,0.134,0.862,0.0
2022-03-27,510,0.004,0.134,0.862,0.0
2022-04-03,642,0.001,0.1,0.893,0.006
2022-04-10,733,0.001,0.1,0.893,0.006
2022-04-17,942,0.001,0.1,0.893,0.006
2022-04-24,1002,0.001,0.1,0.893,0.006
2022-05-01,845,0.002,0.127,0.865,0.006
2022-05-08,1311,0.002,0.127,0.865,0.006
2022-05-15,1273,0.002,0.127,0.865,0.006
2022-05-22,1563,0.002,0.127,0.865,0.006
2022-05-29,1451,0.002,0.127,0.865,0.006
2022-06-05,1459,0.005,0.122,0.856,0.018
2022-06-12,1253,0.005,0.122,0.856,0.018
2022-06-19,1171,0.005,0.122,0.856,0.018
2022-06-26,1186,0.005,0.122,0.856,0.018
2022-07-03,1164,0.01,0.102,0.848,0.04
2022-07-10,918,0.01,0.102,0.848,0.04
2022-07-17,1035,0.01,0.102,0.848,0.04
2022-07-24,1092,0.01,0.102,0.848,0.04
2022-07-31,894,0.01,0.102,0.848,0.04
2022-08-07,879,0.024,0.114,0.835,0.027
2022-08-14,679,0.024,0.114,0.835,0.027
2022-08-21,661,0.024,0.114,0.835,0.027
2022-08-28,577,0.024,0.114,0.835,0.027
2022-09-04,569,0.043,0.145,0.782,0.031
2022-09-11,545,0.043,0.145,0.782,0.031
2022-09-18,472,0.043,0.145,0.782,0.031
2022-09-25,426,0.043,0.145,0.782,0.031
2022-10-02,398,0.065,0.177,0.727,0.031
2022-10-09,376,0.065,0.177,0.727,0.031
2022-10-16,373,0.065,0.177,0.727,0.031
2022-10-23,313,0.065,0.177,0.727,0.031
2022-10-30,318,0.065,0.177,0.727,0.031
2022-11-06,294,0.068,0.113,0.788,0.031
2022-11-13,313,0.068,0.113,0.788,0.031
2022-11-20,267,0.068,0.113,0.788,0.031
2022-11-27,242,0.068,0.113,0.788,0.031
2022-12-04,326,0.214,0.108,0.623,0.055
2022-12-11,289,0.214,0.108,0.623,0.055
2022-12-18,272,0.214,0.108,0.623,0.055
2022-12-25,285,0.214,0.108,0.623,0.055
2021-01-03,194,0.0,0.538,0.217,0.245
2021-01-10,165,0.0,0.538,0.217,0.245
2021-01-17,151,0.0,0.538,0.217,0.245
2021-01-24,135,0.0,0.538,0.217,0.245
2021-01-31,141,0.0,0.538,0.217,0.245
2021-02-07,142,0.0,0.371,0.487,0.143
2021-02-14,148,0.0,0.371,0.487,0.143
2021-02-21,145,0.0,0.371,0.487,0.143
2021-02-28,139,0.0,0.371,0.487,0.143
2021-03-07,145,0.005,0.302,0.36,0.333
2021-03-14,129,0.005,0.302,0.36,0.333
2021-03-21,120,0.005,0.302,0.36,0.333
2021-03-28,113,0.005,0.302,0.36,0.333
2021-04-04,102,0.0,0.412,0.412,0.175
2021-04-11,112,0.0,0.412,0.412,0.175
2021-04-18,128,0.0,0.412,0.412,0.175
2021-04-25,84,0.0,0.412,0.412,0.175
2021-05-02,117,0.0,0.385,0.526,0.09
2021-05-09,92,0.0,0.385,0.526,0.09
2021-05-16,116,0.0,0.385,0.526,0.09
2021-05-23,129,0.0,0.385,0.526,0.09
2021-05-30,118,0.0,0.385,0.526,0.09
2021-06-06,137,0.0,0.264,0.611,0.125
2021-06-13,135,0.0,0.264,0.611,0.125
2021-06-20,126,0.0,0.264,0.611,0.125
2021-06-27,112,0.0,0.264,0.611,0.125
2021-07-04,104,0.012,0.193,0.723,0.072
2021-07-11,75,0.012,0.193,0.723,0.072
2021-07-18,80,0.012,0.193,0.723,0.072
2021-07-25,82,0.012,0.193,0.723,0.072
2021-08-01,70,0.0,0.294,0.676,0.029
2021-08-08,79,0.0,0.294,0.676,0.029
2021-08-15,56,0.0,0.294,0.676,0.029
2021-08-22,53,0.0,0.294,0.676,0.029
2021-08-29,46,0.0,0.294,0.676,0.029
2021-09-05,60,0.0,0.056,0.921,0.024
2021-09-12,74,0.0,0.056,0.921,0.024
2021-09-19,109,0.0,0.056,0.921,0.024
2021-09-26,105,0.0,0.056,0.921,0.024
2021-10-03,104,0.008,0.053,0.939,0.0
2021-10-10,85,0.008,0.053,0.939,0.0
2021-10-17,76,0.008,0.053,0.939,0.0
2021-10-24,75,0.008,0.053,0.939,0.0
2021-10-31,59,0.008,0.053,0.939,0.0
