Category: All categories

Month,repellent + dengue fever + Dengue cluster + mosquito + mosquito repellent + dengue + aedes: (Singapore)
2012-01,16
2012-02,17
2012-03,15
2012-04,18
2012-05,17
2012-06,18
2012-07,20
2012-08,18
2012-09,18
2012-10,16
2012-11,16
2012-12,15
2013-01,20
2013-02,25
2013-03,28
2013-04,50
2013-05,55
2013-06,94
2013-07,48
2013-08,37
2013-09,30
2013-10,36
2013-11,34
2013-12,29
2014-01,30
2014-02,37
2014-03,38
2014-04,30
2014-05,31
2014-06,34
2014-07,46
2014-08,40
2014-09,27
2014-10,24
2014-11,21
2014-12,21
2015-01,22
2015-02,20
2015-03,21
2015-04,22
2015-05,25
2015-06,26
2015-07,25
2015-08,22
2015-09,21
2015-10,22
2015-11,24
2015-12,28
2016-01,46
2016-02,49
2016-03,32
2016-04,27
2016-05,29
2016-06,29
2016-07,29
2016-08,44
2016-09,100
2016-10,24
2016-11,20
2016-12,16
2017-01,17
2017-02,18
2017-03,18
2017-04,21
2017-05,22
2017-06,19
2017-07,22
2017-08,18
2017-09,19
2017-10,21
2017-11,20
2017-12,18
2018-01,18
2018-02,18
2018-03,18
2018-04,20
2018-05,28
2018-06,22
2018-07,21
2018-08,19
2018-09,19
2018-10,18
2018-11,22
2018-12,22
2019-01,25
2019-02,28
2019-03,23
2019-04,25
2019-05,32
2019-06,41
2019-07,48
2019-08,47
2019-09,36
2019-10,32
2019-11,34
2019-12,31
2020-01,33
2020-02,40
2020-03,36
2020-04,31
2020-05,43
2020-06,78
2020-07,85
2020-08,71
2020-09,43
2020-10,35
2020-11,25
2020-12,22
2021-01,19
2021-02,20
2021-03,23
2021-04,22
2021-05,23
2021-06,24
2021-07,21
2021-08,20
2021-09,20
2021-10,19
2021-11,18
2021-12,15
2022-01,19
2022-02,20
2022-03,28
2022-04,43
2022-05,58
2022-06,62
2022-07,52
2022-08,41
2022-09,37
2022-10,34
2022-11,25
2022-12,24
2023-01,23
2023-02,23
2023-03,23
2023-04,26
