Category: All categories

Week,repellent + dengue fever + Dengue cluster + mosquito + mosquito repellent + dengue + aedes: (Singapore)
2018-04-08,20
2018-04-15,18
2018-04-22,21
2018-04-29,23
2018-05-06,39
2018-05-13,21
2018-05-20,30
2018-05-27,23
2018-06-03,24
2018-06-10,22
2018-06-17,22
2018-06-24,25
2018-07-01,24
2018-07-08,21
2018-07-15,22
2018-07-22,23
2018-07-29,25
2018-08-05,21
2018-08-12,17
2018-08-19,17
2018-08-26,19
2018-09-02,19
2018-09-09,17
2018-09-16,20
2018-09-23,22
2018-09-30,19
2018-10-07,15
2018-10-14,19
2018-10-21,17
2018-10-28,18
2018-11-04,19
2018-11-11,24
2018-11-18,23
2018-11-25,31
2018-12-02,26
2018-12-09,23
2018-12-16,25
2018-12-23,19
2018-12-30,23
2019-01-06,25
2019-01-13,28
2019-01-20,27
2019-01-27,29
2019-02-03,29
2019-02-10,34
2019-02-17,31
2019-02-24,26
2019-03-03,31
2019-03-10,22
2019-03-17,24
2019-03-24,22
2019-03-31,21
2019-04-07,28
2019-04-14,28
2019-04-21,30
2019-04-28,28
2019-05-05,33
2019-05-12,30
2019-05-19,28
2019-05-26,40
2019-06-02,35
2019-06-09,37
2019-06-16,52
2019-06-23,50
2019-06-30,42
2019-07-07,45
2019-07-14,51
2019-07-21,50
2019-07-28,57
2019-08-04,60
2019-08-11,47
2019-08-18,48
2019-08-25,41
2019-09-01,36
2019-09-08,40
2019-09-15,41
2019-09-22,37
2019-09-29,31
2019-10-06,30
2019-10-13,36
2019-10-20,32
2019-10-27,30
2019-11-03,37
2019-11-10,40
2019-11-17,34
2019-11-24,35
2019-12-01,30
2019-12-08,29
2019-12-15,32
2019-12-22,33
2019-12-29,29
2020-01-05,37
2020-01-12,42
2020-01-19,32
2020-01-26,34
2020-02-02,29
2020-02-09,49
2020-02-16,53
2020-02-23,38
2020-03-01,39
2020-03-08,36
2020-03-15,34
2020-03-22,42
2020-03-29,32
2020-04-05,30
2020-04-12,28
2020-04-19,41
2020-04-26,35
2020-05-03,38
2020-05-10,48
2020-05-17,45
2020-05-24,46
2020-05-31,61
2020-06-07,75
2020-06-14,86
2020-06-21,94
2020-06-28,87
2020-07-05,76
2020-07-12,89
2020-07-19,100
2020-07-26,89
2020-08-02,87
2020-08-09,73
2020-08-16,68
2020-08-23,65
2020-08-30,56
2020-09-06,46
2020-09-13,47
2020-09-20,37
2020-09-27,42
2020-10-04,36
2020-10-11,38
2020-10-18,32
2020-10-25,31
2020-11-01,23
2020-11-08,30
2020-11-15,30
2020-11-22,27
2020-11-29,25
2020-12-06,25
2020-12-13,22
2020-12-20,24
2020-12-27,20
2021-01-03,19
2021-01-10,20
2021-01-17,20
2021-01-24,22
2021-01-31,19
2021-02-07,20
2021-02-14,18
2021-02-21,20
2021-02-28,26
2021-03-07,27
2021-03-14,20
2021-03-21,20
2021-03-28,21
2021-04-04,21
2021-04-11,23
2021-04-18,26
2021-04-25,27
2021-05-02,27
2021-05-09,21
2021-05-16,22
2021-05-23,23
2021-05-30,28
2021-06-06,23
2021-06-13,27
2021-06-20,22
2021-06-27,24
2021-07-04,21
2021-07-11,25
2021-07-18,25
2021-07-25,17
2021-08-01,19
2021-08-08,20
2021-08-15,19
2021-08-22,19
2021-08-29,23
2021-09-05,20
2021-09-12,21
2021-09-19,17
2021-09-26,21
2021-10-03,22
2021-10-10,21
2021-10-17,22
2021-10-24,16
2021-10-31,18
2021-11-07,17
2021-11-14,17
2021-11-21,22
2021-11-28,14
2021-12-05,16
2021-12-12,18
2021-12-19,13
2021-12-26,15
2022-01-02,18
2022-01-09,18
2022-01-16,20
2022-01-23,22
2022-01-30,21
2022-02-06,25
2022-02-13,20
2022-02-20,20
2022-02-27,25
2022-03-06,24
2022-03-13,30
2022-03-20,30
2022-03-27,30
2022-04-03,29
2022-04-10,40
2022-04-17,49
2022-04-24,60
2022-05-01,51
2022-05-08,55
2022-05-15,71
2022-05-22,60
2022-05-29,61
2022-06-05,65
2022-06-12,63
2022-06-19,62
2022-06-26,64
2022-07-03,62
2022-07-10,51
2022-07-17,51
2022-07-24,51
2022-07-31,51
2022-08-07,44
2022-08-14,40
2022-08-21,35
2022-08-28,47
2022-09-04,39
2022-09-11,40
2022-09-18,35
2022-09-25,33
2022-10-02,37
2022-10-09,38
2022-10-16,35
2022-10-23,34
2022-10-30,29
2022-11-06,26
2022-11-13,28
2022-11-20,29
2022-11-27,22
2022-12-04,27
2022-12-11,30
2022-12-18,24
2022-12-25,28
2023-01-01,27
2023-01-08,28
2023-01-15,26
2023-01-22,19
2023-01-29,25
2023-02-05,25
2023-02-12,23
2023-02-19,26
2023-02-26,18
2023-03-05,24
2023-03-12,27
2023-03-19,23
2023-03-26,27
2023-04-02,25
