Category: All categories

Week,dengue + dengue fever + singapore dengue + dengue symptoms + fever + symptoms + dengue cluster: (Singapore)
2018-04-08,26
2018-04-15,26
2018-04-22,28
2018-04-29,25
2018-05-06,29
2018-05-13,25
2018-05-20,28
2018-05-27,25
2018-06-03,25
2018-06-10,25
2018-06-17,24
2018-06-24,24
2018-07-01,25
2018-07-08,26
2018-07-15,27
2018-07-22,26
2018-07-29,26
2018-08-05,26
2018-08-12,25
2018-08-19,24
2018-08-26,22
2018-09-02,23
2018-09-09,23
2018-09-16,23
2018-09-23,23
2018-09-30,22
2018-10-07,25
2018-10-14,23
2018-10-21,24
2018-10-28,22
2018-11-04,24
2018-11-11,27
2018-11-18,26
2018-11-25,26
2018-12-02,26
2018-12-09,25
2018-12-16,26
2018-12-23,27
2018-12-30,27
2019-01-06,26
2019-01-13,26
2019-01-20,28
2019-01-27,27
2019-02-03,29
2019-02-10,30
2019-02-17,26
2019-02-24,28
2019-03-03,27
2019-03-10,26
2019-03-17,24
2019-03-24,24
2019-03-31,25
2019-04-07,26
2019-04-14,25
2019-04-21,25
2019-04-28,26
2019-05-05,29
2019-05-12,26
2019-05-19,27
2019-05-26,32
2019-06-02,30
2019-06-09,29
2019-06-16,31
2019-06-23,34
2019-06-30,32
2019-07-07,32
2019-07-14,34
2019-07-21,33
2019-07-28,33
2019-08-04,32
2019-08-11,32
2019-08-18,32
2019-08-25,31
2019-09-01,29
2019-09-08,28
2019-09-15,29
2019-09-22,27
2019-09-29,28
2019-10-06,30
2019-10-13,28
2019-10-20,26
2019-10-27,27
2019-11-03,29
2019-11-10,30
2019-11-17,30
2019-11-24,28
2019-12-01,29
2019-12-08,28
2019-12-15,30
2019-12-22,30
2019-12-29,30
2020-01-05,35
2020-01-12,36
2020-01-19,76
2020-01-26,100
2020-02-02,88
2020-02-09,92
2020-02-16,55
2020-02-23,43
2020-03-01,46
2020-03-08,54
2020-03-15,67
2020-03-22,71
2020-03-29,61
2020-04-05,51
2020-04-12,38
2020-04-19,36
2020-04-26,31
2020-05-03,30
2020-05-10,30
2020-05-17,30
2020-05-24,33
2020-05-31,34
2020-06-07,35
2020-06-14,40
2020-06-21,41
2020-06-28,41
2020-07-05,41
2020-07-12,46
2020-07-19,43
2020-07-26,37
2020-08-02,40
2020-08-09,35
2020-08-16,33
2020-08-23,33
2020-08-30,35
2020-09-06,35
2020-09-13,35
2020-09-20,34
2020-09-27,34
2020-10-04,34
2020-10-11,31
2020-10-18,30
2020-10-25,28
2020-11-01,25
2020-11-08,27
2020-11-15,28
2020-11-22,28
2020-11-29,27
2020-12-06,28
2020-12-13,28
2020-12-20,25
2020-12-27,26
2021-01-03,30
2021-01-10,26
2021-01-17,31
2021-01-24,31
2021-01-31,27
2021-02-07,29
2021-02-14,30
2021-02-21,30
2021-02-28,30
2021-03-07,30
2021-03-14,32
2021-03-21,30
2021-03-28,28
2021-04-04,28
2021-04-11,30
2021-04-18,33
2021-04-25,36
2021-05-02,39
2021-05-09,44
2021-05-16,50
2021-05-23,40
2021-05-30,35
2021-06-06,32
2021-06-13,32
2021-06-20,31
2021-06-27,31
2021-07-04,36
2021-07-11,39
2021-07-18,40
2021-07-25,39
2021-08-01,40
2021-08-08,32
2021-08-15,31
2021-08-22,30
2021-08-29,29
2021-09-05,33
2021-09-12,33
2021-09-19,37
2021-09-26,37
2021-10-03,38
2021-10-10,33
2021-10-17,32
2021-10-24,33
2021-10-31,31
2021-11-07,32
2021-11-14,31
2021-11-21,30
2021-11-28,32
2021-12-05,27
2021-12-12,30
2021-12-19,30
2021-12-26,29
2022-01-02,34
2022-01-09,36
2022-01-16,39
2022-01-23,45
2022-01-30,48
2022-02-06,51
2022-02-13,57
2022-02-20,57
2022-02-27,54
2022-03-06,48
2022-03-13,43
2022-03-20,38
2022-03-27,35
2022-04-03,36
2022-04-10,35
2022-04-17,38
2022-04-24,41
2022-05-01,40
2022-05-08,43
2022-05-15,51
2022-05-22,49
2022-05-29,44
2022-06-05,50
2022-06-12,50
2022-06-19,55
2022-06-26,59
2022-07-03,60
2022-07-10,58
2022-07-17,57
2022-07-24,61
2022-07-31,50
2022-08-07,44
2022-08-14,43
2022-08-21,40
2022-08-28,39
2022-09-04,39
2022-09-11,41
2022-09-18,39
2022-09-25,40
2022-10-02,40
2022-10-09,53
2022-10-16,53
2022-10-23,43
2022-10-30,39
2022-11-06,36
2022-11-13,37
2022-11-20,35
2022-11-27,31
2022-12-04,35
2022-12-11,35
2022-12-18,36
2022-12-25,37
2023-01-01,36
2023-01-08,36
2023-01-15,35
2023-01-22,34
2023-01-29,36
2023-02-05,36
2023-02-12,37
2023-02-19,40
2023-02-26,34
2023-03-05,39
2023-03-12,42
2023-03-19,41
2023-03-26,40
2023-04-02,38
