Week,abdominal pain: (Singapore),aedes: (Singapore),Aedes aegypti: (Singapore),Aedes mosquito: (Singapore),bleeding: (Singapore),blood transfusion: (Singapore),citronella: (Singapore),DEET: (Singapore),dengue: (Singapore),Dengue cluster: (Singapore),dengue fever: (Singapore),dengue hotspots: (Singapore),dengue vaccine: (Singapore),Dengvaxia: (Singapore),dhf: (Singapore),essential oils: (Singapore),eucalyptus: (Singapore),Fever: (Singapore),fogging: (Singapore),haemorrhagic: (Singapore),headache: (Singapore),insecticide: (Singapore),IR3535: (Singapore),joint pain: (Singapore),mopiko: (Singapore),mosquito: (Singapore),mosquito bite: (Singapore),mosquito net: (Singapore),mosquito repellent: (Singapore),nausea: (Singapore),picaridin: (Singapore),Rashes: (Singapore),repellent: (Singapore),stagnant water: (Singapore),vomit: (Singapore),wolbachia: (Singapore)
2018-04-08,34,0,0,0,63,0,0,0,9,0,20,0,28,22,26,70,17,35,28,0,65,41,0,51,39,40,43,38,47,43,0,60,38,31,31,0
2018-04-15,66,59,0,0,54,36,0,24,5,0,0,0,0,0,0,66,17,36,0,38,65,41,20,38,0,32,30,55,0,55,0,63,17,0,59,0
2018-04-22,51,0,0,22,86,0,37,0,8,11,12,0,0,0,0,53,27,35,55,0,56,0,0,36,0,37,39,0,20,49,34,77,42,0,39,0
2018-04-29,34,0,0,0,73,0,33,45,17,17,31,0,22,0,20,83,25,35,0,0,66,0,0,55,0,30,20,41,23,44,0,73,26,0,64,0
2018-05-06,67,0,0,46,77,24,15,0,30,16,42,0,70,40,25,62,34,42,0,0,68,21,28,59,29,48,28,32,21,39,0,57,48,0,36,26
2018-05-13,41,25,0,0,68,0,0,0,13,9,38,0,0,0,42,46,0,34,0,0,69,20,0,51,0,30,46,0,0,44,87,64,18,100,59,0
2018-05-20,62,28,0,34,69,32,37,0,20,15,18,0,0,0,0,51,47,38,0,0,64,25,0,31,0,35,37,17,39,31,0,68,18,18,56,0
2018-05-27,37,30,0,92,73,14,0,42,12,0,23,0,0,0,0,64,47,33,44,45,65,29,0,89,0,36,13,65,27,37,0,43,43,0,77,0
2018-06-03,35,41,0,38,60,0,18,0,12,16,36,0,0,0,60,70,24,35,20,0,60,45,23,30,0,42,60,0,23,39,0,77,29,45,44,0
2018-06-10,51,20,67,0,61,30,23,0,17,15,28,0,0,0,0,49,30,37,0,0,64,70,0,56,36,35,57,0,22,38,0,70,41,0,66,0
2018-06-17,35,17,0,0,49,23,0,0,11,8,20,0,0,0,0,50,0,38,29,0,62,43,0,71,46,29,0,0,13,24,0,75,16,0,58,0
2018-06-24,41,24,0,0,55,0,22,100,12,0,21,0,0,0,0,60,39,36,26,0,75,0,0,69,0,39,43,0,44,50,0,68,34,33,58,33
2018-07-01,53,0,22,0,68,0,0,40,11,6,23,79,0,0,24,39,29,38,16,0,69,0,0,36,0,37,16,0,8,39,0,51,40,0,51,13
