time,dengue_cases,denv_1,denv_2,denv_3,denv_4,Mean Temperature (°C),Mean Wind Speed (km/h),Daily Rainfall Total (mm),Maximum Temperature (°C),Max Wind Speed (km/h),Minimum Temperature (°C),recent_cases_in_cluster_central,recent_cases_in_cluster_east,recent_cases_in_cluster_north,recent_cases_in_cluster_north-east,recent_cases_in_cluster_west,google_trends
2018-04-08,38,0.0,0.505,0.484,0.011,28.52857142857143,10.714285714285714,0.7428571428571428,33.8,36.7,25.5,2.0,10.0,2.0,2.0,7.0,20
2018-04-15,56,0.0,0.505,0.484,0.011,28.914285714285715,9.828571428571427,2.0571428571428574,34.4,38.2,24.6,7.0,6.0,1.0,2.0,6.0,18
2018-04-22,55,0.0,0.505,0.484,0.011,28.142857142857142,7.7,0.3714285714285714,34.3,37.1,25.5,8.0,7.0,1.0,2.0,11.0,21
2018-04-29,74,0.0,0.505,0.484,0.011,28.414285714285715,6.842857142857143,4.8,35.0,43.6,22.6,2.0,9.0,1.0,2.0,23.0,23
2018-05-06,62,0.029,0.549,0.382,0.039,28.785714285714285,8.328571428571427,3.742857142857143,34.2,44.6,23.6,1.0,10.0,1.0,2.0,30.0,39
2018-05-13,63,0.029,0.549,0.382,0.039,29.685714285714287,11.228571428571428,0.1999999999999999,33.8,51.1,26.3,1.0,7.0,1.0,2.0,23.0,21
2018-05-20,64,0.029,0.549,0.382,0.039,28.414285714285715,6.471428571428571,1.457142857142857,34.0,36.4,24.6,2.0,5.0,1.0,2.0,13.0,30
2018-05-27,52,0.029,0.549,0.382,0.039,28.314285714285717,6.914285714285714,6.914285714285714,33.1,49.3,24.0,5.0,14.0,1.0,2.0,11.0,23
2018-06-03,75,0.244,0.353,0.328,0.076,27.842857142857145,5.6000000000000005,17.37142857142857,32.9,45.0,22.9,9.0,9.0,1.0,3.0,4.0,24
2018-06-10,55,0.244,0.353,0.328,0.076,29.728571428571428,9.55714285714286,0.5999999999999999,33.4,36.4,24.2,12.0,11.0,1.0,3.0,4.0,22
2018-06-17,59,0.244,0.353,0.328,0.076,29.1,9.328571428571427,1.6857142857142855,33.1,42.5,23.6,13.0,12.0,2.0,3.0,7.0,22
2018-06-24,75,0.244,0.353,0.328,0.076,27.74285714285714,8.27142857142857,4.628571428571428,32.2,47.2,23.6,6.0,3.0,2.0,3.0,4.0,25
2018-07-01,56,0.307,0.467,0.173,0.053,27.042857142857144,6.528571428571429,9.285714285714286,31.5,36.4,23.0,8.0,4.0,3.0,6.0,6.0,24
2018-07-08,44,0.307,0.467,0.173,0.053,28.24285714285714,9.985714285714286,9.114285714285714,31.7,41.8,23.1,6.0,4.0,3.0,10.0,3.0,21
2018-07-15,41,0.307,0.467,0.173,0.053,28.25714285714286,10.285714285714286,8.371428571428572,32.3,51.1,21.9,7.0,4.0,4.0,3.0,3.0,22
2018-07-22,56,0.307,0.467,0.173,0.053,28.914285714285715,11.514285714285714,1.2857142857142858,31.9,40.0,23.5,4.0,3.0,5.0,2.0,2.0,23
2018-07-29,50,0.307,0.467,0.173,0.053,29.0,12.4,0.7428571428571429,33.0,41.0,24.9,3.0,3.0,7.0,4.0,3.0,25
2018-08-05,59,0.355,0.477,0.103,0.065,27.814285714285717,10.028571428571428,5.485714285714286,32.4,40.3,24.0,4.0,2.0,5.0,4.0,2.0,21
2018-08-12,42,0.355,0.477,0.103,0.065,28.571428571428573,10.342857142857143,0.9714285714285714,33.0,40.0,21.9,11.0,5.0,5.0,4.0,1.0,17
2018-08-19,66,0.355,0.477,0.103,0.065,29.25714285714286,14.8,0.5428571428571428,33.0,40.3,24.9,3.0,4.0,8.0,3.0,5.0,17
2018-08-26,75,0.355,0.477,0.103,0.065,28.24285714285714,9.814285714285717,10.171428571428573,33.2,43.2,22.5,4.0,7.0,13.0,3.0,4.0,19
2018-09-02,75,0.488,0.419,0.07,0.023,28.15714285714285,8.585714285714285,1.9714285714285715,32.7,45.0,21.4,6.0,4.0,14.0,3.0,2.0,19
2018-09-09,49,0.488,0.419,0.07,0.023,27.185714285714287,6.228571428571429,13.828571428571433,31.9,42.5,21.8,6.0,2.0,17.0,4.0,2.0,17
2018-09-16,63,0.488,0.419,0.07,0.023,28.11428571428572,9.314285714285717,0.4857142857142857,32.0,37.1,24.8,3.0,1.0,18.0,2.0,1.0,20
2018-09-23,40,0.488,0.419,0.07,0.023,27.557142857142857,8.385714285714286,5.228571428571429,32.5,37.4,23.7,3.0,1.0,19.0,9.0,2.0,22
2018-09-30,51,0.488,0.419,0.07,0.023,29.15714285714285,12.028571428571428,0.0,33.0,45.4,26.1,3.0,1.0,12.0,4.0,2.0,19
2018-10-07,51,0.154,0.635,0.183,0.029,29.185714285714287,11.62857142857143,2.8285714285714287,34.5,45.7,23.7,3.0,1.0,9.0,3.0,1.0,15
2018-10-14,60,0.154,0.635,0.183,0.029,26.585714285714285,5.2,25.342857142857145,32.5,44.6,22.5,6.0,3.0,6.0,3.0,4.0,19
